LSOA code,Aged 14 years and under,Aged 15 to 29 years,Aged 30 to 59 years,Aged 60 years and over
E01011954,21.8,18.6,39.1,20.4
E01011969,12.9,12.7,34.6,39.9
E01011970,11,15.2,36.3,37.5
E01011971,16.1,20.5,45.6,17.8
E01033465,22.4,17.4,45.4,14.8
E01033467,20.8,18.4,40.4,20.4
E01011952,21.3,16.2,35.8,26.8
E01011953,23.5,20.8,34.9,20.6
E01011991,14.2,14.5,38.9,32.3
E01011992,21.8,19.6,41.1,17.6
E01011993,15.7,16.7,39.7,27.9
E01011994,21.1,17.6,36.9,24.5
E01011955,21.4,18.5,40,20.1
E01011957,20.7,16.8,38.3,24.2
E01032540,20.1,13.6,40.1,26.4
E01032541,17.3,16.2,37.8,28.7
E01033466,24.6,19,37.3,19
E01011951,16.6,18.9,45.5,19.1
E01011964,17.4,24.7,35.6,22.4
E01011967,21.4,16.6,39.4,22.7
E01011999,17.7,22.4,35.9,23.9
E01012000,15,21.1,35.6,28.4
E01011950,15.7,17.2,41.3,25.7
E01011986,16.2,16.3,36.1,31.3
E01011987,20.6,17.4,39.8,22.3
E01012001,22.5,17.9,39.5,20.1
E01011949,19.7,18.4,39.6,22.4
E01011980,20.5,18.5,38.2,22.9
E01011981,25.1,18.3,33.9,22.7
E01011984,10,13.6,32.2,44.3
E01011985,14.6,12.3,36.3,36.9
E01011988,14.6,15.9,39,30.4
E01011989,20.7,18.6,37.1,23.6
E01011990,21.6,15.9,39.6,22.9
E01011995,12.1,13.9,34.4,39.6
E01011996,12,14.3,33.8,39.6
E01011997,14.9,14.9,41.2,29.1
E01011998,17.8,16.2,37.4,28.8
E01011961,18.8,16.9,37.4,26.8
E01011962,21.9,17.9,35.7,24.7
E01011977,24,18.8,38.7,18.5
E01011978,21.9,20.4,37.1,20.5
E01011979,24.6,20.6,35.9,19.2
E01011959,15.8,13.7,43.5,26.8
E01011960,9.8,12.9,31.7,45.6
E01011963,11.5,12.6,35.1,40.6
E01011968,9.5,12.2,36.2,42.1
E01011982,16.1,12.9,38.3,32.9
E01012003,13.5,12.4,36.8,37.3
E01012005,15.4,17.9,45.1,21.7
E01011965,15.5,14.2,37.1,33.1
E01011966,14.5,16.2,40.5,28.9
