LSOA code,1 bedroom,2 bedrooms,3 bedrooms,4 or more bedrooms
E01011954,6.6,25.2,59.4,8.7
E01011969,0.7,16,71,12.3
E01011970,0.8,25.8,44.3,29.1
E01011971,0.2,15.2,51.4,33.2
E01033465,0.5,12.8,45.5,41.1
E01033467,7.4,30.3,36,26.2
E01011952,10.5,24.2,56.5,8.7
E01011953,12.7,37.8,43.4,6.1
E01011991,11.5,20.3,46.8,21.5
E01011992,4.7,39.2,46.5,9.5
E01011993,17.9,30,46.3,5.9
E01011994,16.9,33.3,45,4.8
E01011955,11.5,30.6,46.2,11.7
E01011957,4.2,27.7,62.9,5.2
E01032540,4.4,36,46.4,13.2
E01032541,15.5,17.1,56.3,11.2
E01033466,8.6,29.7,50.4,11.3
E01011951,6.3,47.9,36.9,8.9
E01011964,9.3,15.2,25.6,49.8
E01011967,2.8,10,48.5,38.7
E01011999,22.5,27.3,30.9,19.3
E01012000,38.5,27.6,27.6,6.2
E01011950,9,45.4,36.9,8.6
E01011986,0.8,18.9,72.4,7.9
E01011987,1.2,30.4,61.4,7.1
E01012001,11,32.8,46,10.2
E01011949,1.7,21.3,71.6,5.4
E01011980,17.7,25.5,50.5,6.3
E01011981,10.7,22.5,59.6,7.2
E01011984,2.2,23.4,60.5,13.8
E01011985,2.4,23.7,56.9,16.9
E01011988,10,42.3,40.1,7.6
E01011989,11.5,34.6,43.6,10.3
E01011990,4,30.5,54.1,11.3
E01011995,3,21.7,48.1,27.3
E01011996,6,28.2,46.4,19.4
E01011997,0.9,18.9,43.2,37
E01011998,9.9,12.5,44.8,32.8
E01011961,6.2,39.2,46.2,8.5
E01011962,5.7,32.2,54.7,7.4
E01011977,6.5,47.8,42.9,2.8
E01011978,21.8,49.8,25.4,3
E01011979,5.9,38.3,50.6,5.1
E01011959,2.3,14,29.6,54.1
E01011960,2.1,26.4,57.9,13.5
E01011963,1.4,30.2,54.8,13.6
E01011968,6.5,35.9,38.1,19.4
E01011982,0.7,8.3,24.1,66.9
E01012003,1.9,19,39.5,39.7
E01012005,1.4,6.5,38.8,53.3
E01011965,0.6,5.6,52.5,41.4
E01011966,6.1,25.4,46.8,21.7
E01011974,28.7,44.2,20.1,7
E01011975,5,46.5,45.8,2.7
E01011983,0.8,11.3,23.6,64.3
E01012002,6.8,18.2,65.2,9.8
E01035188,7.9,49.2,35.4,7.5
E01012068,20.2,45.3,21.5,12.9
E01012092,23.3,30.5,28.6,17.6
E01012093,6.1,42.6,36.5,14.8
E01035189,54.3,34.5,8.6,2.7
E01035190,18.5,32.7,31.4,17.4
E01035191,6.5,36.1,48.8,8.6
E01035192,15,34,26.7,24.3
E01012058,3.1,48.4,44.4,4.1
E01012059,11.2,47.8,34.7,6.4
E01012060,11.4,21.1,61.4,6.1
E01012061,1.2,7,87.6,4.2
E01012036,3.5,51.6,34.9,9.9
E01012037,3.5,42.4,49.5,4.6
E01012038,1.7,41,53,4.3
E01012039,8.9,38.2,38.6,14.3
E01012040,5.9,46.9,35.8,11.3
E01012041,33,42.7,20.7,3.6
E01012074,2.4,39.3,55.2,3
E01012075,5.3,23.3,67.9,3.5
E01012076,1.2,12.1,84.2,2.5
E01012077,11.6,18.5,62.6,7.2
E01012088,6.7,14.7,72.1,6.6
E01012078,7,46.2,38.1,8.7
E01012079,3.7,4.6,70.4,21.2
E01012080,4.4,6.6,80.3,8.7
E01012081,9.3,21,51.7,18
E01012026,3.9,12.2,72.3,11.6
E01012027,17.3,37.4,34.7,10.7
E01033469,6.6,31.9,50.3,11.2
E01012015,22.2,17.1,56.9,3.7
E01012016,17.9,27.6,51.3,3.2
E01012017,6.1,35.6,52,6.3
E01012089,12.5,22.5,57.1,7.9
E01012090,24.6,14.8,55.8,4.8
E01012091,4.8,18.1,65,12.1
E01012011,4.8,28.4,63.1,3.7
E01012012,0.9,2.8,79.4,16.8
E01012013,2.6,10.7,79.2,7.5
E01012014,3.3,25,67.6,4.1
E01012053,0.9,13.5,56.2,29.3
E01012054,2.2,8.3,67,22.4
E01012055,3.7,24,37.5,34.9
E01012056,8.4,30.3,54.8,6.5
E01012057,7.2,19.7,52.5,20.6
E01012082,1.4,24.7,69.1,4.8
E01012083,2.2,34,61.7,2.2
E01012084,8.1,30.4,58.4,3
E01012085,4.4,27.7,64.6,3.3
E01012018,21.6,18.8,50.5,9.2
E01012019,19.3,39,38.9,2.9
E01012020,8.3,12.2,69.9,9.5
