LSOA code,1 car or van in household,2 cars or vans in household,3 or more cars or vans in household,No cars or vans in household
E01000001,29.03225806,3.464755078,1.19474313,66.30824373
E01000002,25.24271845,3.155339806,1.45631068,70.14563107
E01000003,16.61750246,1.474926254,0.688298918,81.21927237
E01000005,19.20668058,1.878914405,0.626304802,78.28810021
E01000006,45.30685921,17.14801444,4.512635379,33.03249097
E01000007,34.25692695,4.198152813,0.587741394,60.95717884
E01000008,37.47714808,9.140767824,2.010968921,51.37111517
E01000009,35.83333333,9.5,4.166666667,50.5
E01000011,36.4978903,14.1350211,3.58649789,45.78059072
E01000012,41.17647059,7.928388747,1.150895141,49.74424552
E01000013,47.819063,13.40872375,3.877221325,34.89499192
E01000014,45.99686028,19.1522763,4.238618524,30.6122449
E01000015,45.98802395,13.77245509,3.353293413,36.88622754
E01000016,42.90271132,19.29824561,5.582137161,32.2169059
E01000017,48.3277592,15.55183946,4.849498328,31.27090301
E01000018,48.44720497,18.16770186,3.881987578,29.50310559
E01000019,47.99196787,17.67068273,7.02811245,27.30923695
E01000020,45.93373494,18.37349398,6.325301205,29.36746988
E01000021,44.8392555,14.38240271,5.583756345,35.19458545
E01000022,48.84696017,22.01257862,3.983228512,25.1572327
E01000024,46.73913043,20.86956522,7.173913043,25.2173913
E01000025,43.80403458,15.99423631,3.746397695,36.45533141
E01000027,40.63444109,21.90332326,6.797583082,30.66465257
E01000028,40.67524116,16.23794212,3.054662379,40.03215434
E01000029,49.04552129,22.76064611,6.607929515,21.58590308
E01000030,45.97574421,16.20727674,2.976846748,34.8401323
E01000031,42.42424242,24.07407407,8.585858586,24.91582492
E01000032,44.95159059,17.70401107,4.979253112,32.36514523
E01000033,40.29038113,19.41923775,4.900181488,35.39019964
E01000034,40.46692607,20.81712062,8.949416342,29.76653696
E01000035,44.96644295,17.95302013,4.865771812,32.2147651
E01000036,44.58598726,21.86836518,5.944798301,27.60084926
E01000037,43.70748299,26.53061224,12.24489796,17.5170068
E01000038,43.26241135,24.46808511,8.865248227,23.40425532
E01000039,42.83489097,26.63551402,6.230529595,24.29906542
E01000040,42.50764526,13.30275229,3.211009174,40.97859327
E01000041,44.33333333,22,4,29.66666667
E01000042,43.51145038,12.67175573,1.832061069,41.98473282
E01000043,37.87234043,22.55319149,6.170212766,33.40425532
E01000044,42.05748865,12.40544629,1.361573374,44.17549168
E01000045,44.02079723,16.63778163,4.506065858,34.83535529
E01000046,46.66666667,17.72727273,3.333333333,32.27272727
E01000049,43.13043478,11.82608696,2.956521739,42.08695652
E01000050,45.00792393,10.45958796,1.901743265,42.63074485
E01000051,43.05555556,5.092592593,0.231481481,51.62037037
E01000052,46.0476788,11.2923463,2.132998745,40.52697616
E01000053,44.08602151,11.67434716,3.225806452,41.01382488
E01000054,45.38341158,18.15336463,5.007824726,31.45539906
E01000055,44.2680776,20.98765432,3.174603175,31.5696649
E01000056,45.8259325,18.8277087,3.730017762,31.61634103
E01000057,45.95103578,13.55932203,2.824858757,37.66478343
