LSOA code,Have central heating,No central heating
E01000001,97.38095238,2.619047619
E01000002,98.05825243,1.941747573
E01000003,96.46712463,3.532875368
E01000005,98.7473904,1.252609603
E01000006,97.29241877,2.707581227
E01000007,96.89597315,3.104026846
E01000008,97.26277372,2.737226277
E01000009,97.16666667,2.833333333
E01000011,96.19450317,3.805496829
E01000012,96.2915601,3.708439898
E01000013,98.37662338,1.623376623
E01000014,97.63779528,2.362204724
E01000015,97.84431138,2.155688623
E01000016,98.7281399,1.271860095
E01000017,97.4916388,2.508361204
E01000018,98.91472868,1.085271318
E01000019,97.39478958,2.605210421
E01000020,98.4939759,1.506024096
E01000021,97.63113367,2.368866328
E01000022,98.95615866,1.043841336
E01000024,98.03921569,1.960784314
E01000025,98.41498559,1.585014409
E01000027,98.18731118,1.812688822
E01000028,97.90322581,2.096774194
E01000029,97.94721408,2.052785924
E01000030,97.35099338,2.649006623
E01000031,99.49324324,0.506756757
E01000032,98.33333333,1.666666667
E01000033,98.19168174,1.808318264
E01000034,99.22178988,0.778210117
E01000035,97.4789916,2.521008403
E01000036,98.51380042,1.486199575
E01000037,98.81154499,1.188455008
E01000038,99.11032028,0.889679715
E01000039,99.06542056,0.934579439
E01000040,97.56097561,2.43902439
E01000041,98.00664452,1.993355482
E01000042,98.16513761,1.834862385
E01000043,97.02760085,2.972399151
E01000044,97.42424242,2.575757576
E01000045,98.26689775,1.733102253
E01000046,98.0332829,1.966717095
E01000049,97.2270364,2.772963605
E01000050,97.13831479,2.861685215
E01000051,97.69053118,2.309468822
E01000052,97.73869347,2.261306533
E01000053,97.5422427,2.457757296
E01000054,97.1875,2.8125
E01000055,98.23633157,1.76366843
E01000056,98.2300885,1.769911504
E01000057,96.98681733,3.013182674
E01000058,98.70689655,1.293103448
E01000059,97.89473684,2.105263158
E01000060,98.39307787,1.606922126
E01000061,98.2689747,1.7310253
E01000062,98.046875,1.953125
E01000063,98.24,1.76
E01000064,97.61006289,2.389937107
E01000065,97.95918367,2.040816327
E01000066,96.89703808,3.102961918
E01000067,98.18456884,1.815431165
E01000068,97.91231733,2.087682672
E01000069,98.50746269,1.492537313
E01000070,98.09027778,1.909722222
E01000071,98.88475836,1.115241636
E01000072,98.37177748,1.628222524
E01000073,98.4984985,1.501501502
E01000074,98.72204473,1.277955272
E01000075,97.33959311,2.660406886
E01000076,98.74055416,1.259445844
E01000077,98.98819562,1.011804384
E01000078,97.56888169,2.431118314
E01000079,98.23151125,1.768488746
E01000080,98.67768595,1.32231405
E01000081,97.86259542,2.13740458
E01000082,98.14020029,1.859799714
E01000083,98.11023622,1.88976378
E01000084,97.01789264,2.982107356
E01000085,97.56944444,2.430555556
E01000086,97.12525667,2.874743326
E01000087,96.91119691,3.088803089
E01000088,96.83333333,3.166666667
E01000089,96.67221298,3.327787022
E01000090,99.0990991,0.900900901
E01000091,96.57738095,3.422619048
E01000093,98.64457831,1.355421687
E01000094,96.08540925,3.914590747
E01000095,98.23609227,1.763907734
E01000096,97.93814433,2.06185567
E01000097,98.25327511,1.746724891
E01000098,97.75280899,2.247191011
E01000099,98.39228296,1.607717042
E01000100,97.56097561,2.43902439
E01000101,98.10671256,1.893287435
E01000102,98.88535032,1.114649682
E01000103,97.37827715,2.621722846
E01000104,98.1348637,1.865136298
E01000105,97.97657082,2.02342918
E01000106,97.12973594,2.870264064
E01000107,96.16026711,3.839732888
E01000108,96.79767103,3.202328967
E01000110,98.08429119,1.915708812
E01000111,97.73333333,2.266666667
E01000112,96.70958512,3.290414878
E01000113,97.04049844,2.959501558
E01000114,98.15059445,1.849405548
E01000115,99.58333333,0.416666667
E01000116,98.38187702,1.618122977
E01000117,98.26589595,1.734104046
E01000118,98.80159787,1.19840213
E01000119,99.36406995,0.635930048
E01000120,98.39679359,1.603206413
E01000121,98.47036329,1.529636711
E01000122,98.84169884,1.158301158
E01000123,99.17920657,0.820793434
E01000124,96.21212121,3.787878788
E01000126,98.05194805,1.948051948
E01000127,98.44660194,1.553398058
E01000128,98.89937107,1.100628931
E01000129,96.51567944,3.484320557
E01000130,96.66666667,3.333333333
E01000131,98.17927171,1.820728291
E01000132,98.6083499,1.391650099
E01000133,97.75474957,2.245250432
E01000134,96.68769716,3.312302839
E01000135,99.0430622,0.956937799
E01000136,97.52212389,2.477876106
E01000137,97.32937685,2.670623145
E01000138,96.79389313,3.20610687
E01000139,96.875,3.125
E01000140,98.50402762,1.495972382
E01000141,96.70050761,3.299492386
E01000142,97.08520179,2.914798206
E01000143,97.64359352,2.35640648
E01000144,97.44279946,2.557200538
E01000145,97.54098361,2.459016393
E01000146,96.65898618,3.341013825
E01000147,98.03571429,1.964285714
E01000150,98.32474227,1.675257732
E01000151,95.58599696,4.414003044
E01000152,97.30893434,2.691065662
E01000153,97.7027027,2.297297297
E01000154,97.17114569,2.828854314
E01000156,99.19678715,0.803212851
E01000157,96.70164918,3.298350825
E01000158,97.8021978,2.197802198
E01000159,98.91975309,1.080246914
E01000160,99.25280199,0.747198007
E01000161,97.53694581,2.463054187
E01000162,98.00362976,1.996370236
E01000163,96.86716792,3.13283208
E01000164,97.83281734,2.167182663
E01000165,99.43342776,0.566572238
E01000166,98.62174579,1.378254211
E01000167,98.46743295,1.53256705
E01000168,99.28825623,0.711743772
E01000169,96.54676259,3.45323741
E01000170,98.85222382,1.147776184
E01000171,97.29187563,2.708124373
E01000172,99.01477833,0.985221675
E01000173,99.17627677,0.823723229
E01000174,96.7191601,3.280839895
E01000175,98.29192547,1.708074534
E01000176,98.05285118,1.947148818
E01000177,98.41040462,1.589595376
E01000178,98.96602659,1.033973412
E01000179,97.7893368,2.210663199
E01000180,98.50523169,1.494768311
E01000181,98.5380117,1.461988304
E01000182,96.99042408,3.009575923
E01000183,98.50498339,1.495016611
E01000184,98.45070423,1.549295775
E01000185,98.4496124,1.550387597
E01000186,99.41634241,0.583657588
E01000187,98.98648649,1.013513514
E01000188,99.60629921,0.393700787
E01000189,98.67482161,1.325178389
E01000190,99.11971831,0.88028169
E01000191,99.10233393,0.897666068
E01000192,98.03370787,1.966292135
E01000193,98.59353024,1.406469761
E01000194,97.86931818,2.130681818
E01000195,97.77468707,2.225312935
E01000196,96.53284672,3.467153285
E01000197,97.67759563,2.322404372
E01000198,98.45956354,1.540436457
E01000199,97.56468798,2.435312024
E01000200,98.4,1.6
E01000201,99.04942966,0.950570342
E01000202,98.53896104,1.461038961
E01000203,98.83040936,1.169590643
E01000204,98.55699856,1.443001443
E01000205,99.17355372,0.826446281
E01000206,99.42638623,0.573613767
E01000207,98.60465116,1.395348837
E01000208,98.42271293,1.577287066
E01000209,99.32705249,0.67294751
E01000210,98.12286689,1.877133106
E01000211,97.62162162,2.378378378
E01000212,98.73188406,1.268115942
E01000213,100,0
E01000214,95.7309185,4.269081501
E01000215,96.89265537,3.107344633
E01000216,98.7534626,1.246537396
E01000217,98.02158273,1.978417266
E01000218,97.76632302,2.233676976
E01000219,96.81335357,3.186646434
E01000220,98.09384164,1.906158358
E01000221,98.29545455,1.704545455
E01000222,98.07692308,1.923076923
E01000223,98.25970549,1.740294511
E01000224,97.84560144,2.154398564
E01000225,98.79518072,1.204819277
E01000226,98.17880795,1.821192053
E01000227,98.49749583,1.502504174
E01000228,99.12854031,0.871459695
E01000229,98.62778731,1.372212693
E01000230,99.24012158,0.759878419
E01000231,98.86731392,1.132686084
E01000232,98.86039886,1.13960114
E01000233,98.4871407,1.512859304
E01000234,99.25261584,0.747384155
E01000235,98.32061069,1.679389313
E01000236,98.41954023,1.58045977
E01000237,96.69876204,3.301237964
E01000238,97.51552795,2.48447205
E01000239,97.74919614,2.250803859
E01000240,99.04458599,0.955414013
E01000241,98.42632332,1.573676681
E01000242,98.31932773,1.680672269
E01000243,96.78492239,3.215077605
E01000244,95.84,4.16
E01000245,94.98289624,5.017103763
E01000246,98.4423676,1.557632399
E01000247,97.6744186,2.325581395
