LSOA code,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications
E01011954,24.1,10.1,16.6,7.6,20.4,18.8,2.4
E01011969,21.1,9.5,12.8,12.3,19,22.8,2.5
E01011970,16.8,7.7,14,8.4,19.3,30.6,3.2
E01011971,10.3,6.6,16.9,6.8,23.5,33,2.8
E01033465,10.9,7,15.1,6.6,23.8,34.6,1.9
E01033467,17.3,7.7,12.2,6.6,21,33.4,1.8
E01011952,33,11.7,14.9,6.1,15.3,15.2,3.8
E01011953,31.4,13.3,17.8,5.4,15.2,14.3,2.6
E01011991,24.2,8.1,12.7,7.6,17.5,28.3,1.5
E01011992,24.1,10.2,15.8,5.7,17.8,23.8,2.5
E01011993,33.6,10.7,15.1,7.2,16.9,15.5,1
E01011994,34.1,11.8,16.4,5.4,14.2,14.9,3.1
E01011955,31.2,10.4,15.1,7.2,16.8,17.4,2
E01011957,28,11,14.8,7.4,17.5,18.9,2.5
E01032540,21.6,9.5,13.3,6.1,21,25.5,3.2
E01032541,27,12,13.6,7.9,19.1,18.2,2.1
E01033466,29.6,10.7,17.6,5.6,17,17.2,2.2
E01011951,21.5,13.1,18.3,6.4,18.2,20,2.6
E01011964,18.5,8.6,14.1,5,19.5,31.8,2.5
E01011967,14.8,11.9,14.8,5.4,20.8,30.5,1.9
E01011999,35.2,11.3,13.7,4.9,16.5,16.3,2
E01012000,36.5,11.3,13.5,6.6,15.7,14.9,1.5
E01011950,31.6,10.3,15.6,6.3,14.9,19,2.3
E01011986,22.7,8.4,15.8,8.4,20.6,21.4,2.8
E01011987,23.2,10.8,17.2,7.5,17.7,20.9,2.7
E01012001,32.1,11.2,14.4,6.9,14.2,18.9,2.3
E01011949,26.8,10.5,17.2,5.4,20,17.5,2.6
E01011980,27.3,10.7,16.1,7,17.9,18.7,2.3
E01011981,33.9,11.9,16.3,5.9,13.8,15.3,2.9
E01011984,22.7,7.7,14.4,8.9,19.4,23.9,3
E01011985,21.4,11.5,12.9,8.7,18.6,24.7,2.2
E01011988,27.2,9.5,14.2,6.8,19.6,20.3,2.4
E01011989,30.1,11.3,16.8,5.9,16.3,16.5,3
E01011990,20.1,10.6,16.2,6.9,21.4,22.4,2.4
E01011995,19.3,7.9,12.4,9.5,19.9,28,3
E01011996,22,7.6,12.7,8.4,16.5,27.1,5.7
E01011997,15.7,7.4,14,8.1,21.6,30.3,2.9
E01011998,16.5,7.3,12.9,7.5,22.7,31.6,1.6
E01011961,25.2,9.2,15,7.2,19.4,20.2,3.8
E01011962,28.1,12.4,16.3,6.7,15.9,19,1.7
E01011977,30.9,11.8,17.6,6.3,16.2,14.8,2.4
E01011978,33.9,10.7,15.3,5.5,15.7,16.6,2.4
E01011979,28.8,12.9,18.6,4.6,16.1,16.2,2.8
E01011959,12.7,5.9,13.3,6,16.6,43.6,1.9
E01011960,21.8,9.8,13.3,10.2,17,23.8,4.1
E01011963,21.8,7.8,12.3,9.9,19.7,26,2.5
E01011968,22.3,9,13.4,7.6,18.7,26.2,2.9
E01011982,8.9,5.6,11.4,5.9,18.2,47.5,2.6
E01012003,13.6,6.4,12.2,10.1,19.9,35,2.8
E01012005,10.1,7.5,15.7,6.3,21.9,36.8,1.6
E01011965,11.7,6.5,11.7,8,19.8,40.7,1.6
E01011966,16.9,6.9,13.8,7.3,21.4,30.3,3.3
E01011974,21.3,9.2,14,5.8,19.5,27.1,3.1
E01011975,23.6,9.3,16.2,7.4,17.6,24,2
E01011983,11,7,13.1,5.5,19.1,42.6,1.7
E01012002,20.4,8.9,13.2,7.2,20.1,27.6,2.6
E01035188,30.7,9.9,15,6.1,15.4,20.3,2.5
E01012068,16.6,4.8,8,2.2,29.2,36,3.4
E01012092,24.2,7.9,9.8,2.6,20.7,31.8,3
E01012093,27,9.5,9.5,3.4,12.7,34.6,3.4
E01035189,27.8,12.1,10,3.8,19.3,24.6,2.4
E01035190,30.9,10.1,13.7,3.5,15.3,22.9,3.5
E01035191,27.6,9.3,11.2,4.8,14.1,29.8,3.2
E01035192,31,11.8,11,3.2,13.9,25.9,3.2
E01012058,35.5,9.7,13.7,5.9,13.1,19.3,2.8
E01012059,36.5,9.4,13,6.9,14.2,16.5,3.5
E01012060,32.4,11.4,19.1,4.7,15.7,15.3,1.4
E01012061,28.5,10.2,14.1,7.1,17.3,20.5,2.2
