LSOA code,Very good health,Good health,Fair health,Bad health,Very bad health
E01012949,32.8,31.4,19.4,7.5,9
E01012041,27.7,28.5,21.1,14.7,8.1
E01009463,47.3,30.7,12.5,2.7,6.8
E01029538,39.5,32.5,14.2,7.5,6.3
E01013861,33.9,27.3,20.6,12.4,5.8
E01035197,33.4,27.4,19.9,13.6,5.7
E01013859,34.9,31.4,16.5,11.4,5.7
E01004384,46.5,31.2,12,4.7,5.7
E01016942,33.2,26.6,21.2,13.5,5.5
E01020749,23.7,30.2,25,15.8,5.4
E01002072,47.6,30.7,10.7,5.7,5.4
E01011370,47,30,12.2,5.5,5.3
E01007544,34.2,28,20.4,12.2,5.2
E01021988,21.4,32.8,26.4,14.2,5.1
E01006563,35.6,29.4,18.6,11.3,5.1
E01007592,41.7,31,16,6.2,5.1
E01007133,32.9,29.5,19.7,12.9,5
E01025584,30.6,32.9,20.5,10.9,5
E01006944,28,34,23.2,9.8,5
E01009342,44.3,29.6,11.6,9.5,5
E01007397,35.1,32.2,19.6,8.1,5
E01006971,41.4,29.3,18.6,5.7,5
E01018732,41.2,33,15.8,5.2,4.9
E01001794,52.1,30.9,9,3.2,4.9
E01006646,43.6,27.1,14.9,9.7,4.8
E01006761,39.1,30.9,17.8,7.5,4.8
E01004848,40.4,31.8,16.2,6.8,4.8
E01010427,42,34.4,13,5.8,4.8
E01011988,38.3,32.7,17.4,6.9,4.7
E01008777,23,28.5,29.1,14.7,4.6
E01012704,36.1,27,20,12.3,4.6
E01006560,36,30.8,18.3,10.4,4.6
E01012409,34.8,29.8,22.9,7.9,4.6
E01024714,35.4,36,17.9,6.1,4.6
E01007762,39.4,35.3,14.6,6,4.6
E01003087,48.5,32.7,10.8,3.4,4.6
E01022025,29.4,33.1,21.5,11.4,4.5
E01027976,35.4,32.4,18.6,9.1,4.5
E01005318,44,31,15.1,5.4,4.5
E01012033,36.2,24.8,20.2,14.4,4.4
E01006662,37.1,27.8,17.9,12.9,4.4
E01020901,33.1,30.1,23,9.4,4.4
E01020999,40,33.6,17.1,4.9,4.4
E01006771,34.4,30.1,18.9,12.3,4.3
E01008702,31.2,30.3,22.2,11.9,4.3
E01012702,33.3,30.4,20.9,11,4.3
E01006799,36.4,30.7,17.6,11,4.3
E01013084,31.1,30.5,23.5,10.6,4.3
E01008736,34.8,30.2,20.6,10,4.3
E01020602,33.9,30.7,21.7,9.4,4.3
E01012946,37.5,29.5,19.2,9.4,4.3
E01008689,34.7,31,20.8,9.3,4.3
E01007904,42,28.6,15.9,9.2,4.3
E01007007,35.3,29.1,20.5,10.9,4.2
E01008762,38.5,28.3,19.9,9,4.2
E01006754,45.6,28.2,15.2,6.8,4.2
E01034079,49.4,33.7,9.3,3.3,4.2
E01020745,33.6,29.5,20.5,12.2,4.1
E01007024,34.5,31.9,18.7,10.9,4.1
E01012682,33,30.4,21.8,10.7,4.1
E01006693,36,30.7,19.3,9.9,4.1
E01006436,41.5,28.7,16,9.6,4.1
E01007739,38.3,30.6,17.5,9.6,4.1
E01020995,34.8,33.5,18.5,9.2,4.1
E01012396,35.9,33.7,17.4,8.9,4.1
E01027516,34,33.2,20.3,8.4,4.1
E01008817,41.2,27.1,19.2,8.4,4.1
E01018767,40.9,29.8,17.1,8.1,4.1
E01020993,37,33.3,17.8,7.8,4.1
E01004732,41.6,28.9,18,7.4,4.1
E01004702,45.9,29,13.9,7.2,4.1
E01025300,36.2,31,21.9,6.7,4.1
E01018989,47,30.5,12.1,6.3,4.1
E01002796,52.4,24,13.5,6,4.1
E01019194,46.6,33.2,12,4,4.1
E01018572,54.6,28,9.5,3.9,4.1
E01033060,52.4,31.9,9.2,2.3,4.1
E01006386,27.9,32.2,23.4,12.5,4
E01008257,29.1,33.5,21.2,12.2,4
E01020777,37.9,28.1,19.3,10.8,4
E01007290,35.7,31.6,18.4,10.3,4
E01012681,31,35,20.7,9.3,4
E01025570,31.5,30.7,24.5,9.3,4
E01013674,36.1,30.9,19.8,9.1,4
E01035466,32.7,34.6,19.8,8.9,4
E01006716,42.8,31.8,13.2,8.3,4
E01013876,39.8,33.6,14.8,7.7,4
E01025154,35.4,32.6,20.4,7.6,4
E01020137,41.7,33.5,15.9,4.9,4
E01002308,44.9,34,12.5,4.7,4
E01014927,43.5,33.9,14.6,4.1,4
E01013136,30.7,30,21.9,13.6,3.9
E01006779,41,26.7,16.9,11.5,3.9
E01006633,39.2,27.3,18.1,11.5,3.9
E01035189,29.1,33.6,22.6,10.9,3.9
E01012408,39.3,28.3,18.1,10.4,3.9
E01011978,39.8,27.1,19.2,10,3.9
E01035468,35.7,30.5,20.7,9.2,3.9
E01007543,38.5,30.5,18,9,3.9
E01005746,34.9,29.4,23,8.7,3.9
E01019156,35.8,33.3,18.6,8.4,3.9
E01010965,37.4,32.1,18.4,8.3,3.9
E01020898,36.4,34.8,17.1,7.8,3.9
