LSOA code,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked
E01011954,8.4,26.4,57.9,7.4
E01011969,7.6,18.7,64.7,9
E01011970,6.7,20.9,61.2,11.1
E01011971,7.2,20.3,62.7,9.7
E01033465,6.7,19.4,62.4,11.6
E01033467,5.3,16.6,65.8,12.3
E01011952,10.2,29.2,49,11.6
E01011953,11.8,26.1,54.7,7.4
E01011991,10.3,20,58.5,11.2
E01011992,8.8,19.5,63,8.8
E01011993,9.8,25.3,58.2,6.7
E01011994,7,23.8,61.7,7.5
E01011955,11.8,26.2,53.8,8.2
E01011957,7.9,25.7,61,5.5
E01032540,8.4,23.5,59,9
E01032541,11,24.2,58,6.8
E01033466,11.3,28.4,54.5,5.8
E01011951,9.3,25.5,57.1,8.1
E01011964,13,23,54.7,9.4
E01011967,8.7,21.8,61.8,7.7
E01011999,12.8,26.6,51.6,9.1
E01012000,12.8,19.4,60.7,7.1
E01011950,6.1,24.8,59.5,9.6
E01011986,8,24.9,59.5,7.6
E01011987,7.8,23.5,61.4,7.3
E01012001,8.8,24.7,58.9,7.7
E01011949,9.2,24.6,59.2,7
E01011980,10.5,20.5,59.7,9.3
E01011981,10.7,32.6,51.2,5.5
E01011984,6.7,23.2,61.2,8.9
E01011985,7.5,25.2,58.2,9.1
E01011988,8.8,25.1,58.4,7.7
E01011989,9.7,25.8,56.6,8
E01011990,8.9,25.5,58,7.7
E01011995,9.7,21.1,60.5,8.7
E01011996,8.5,20.7,60.6,10.2
E01011997,7.7,20.1,63.2,9
E01011998,7.5,18,63.1,11.4
E01011961,12.5,23.5,54.4,9.6
E01011962,11.6,29,52.8,6.6
E01011977,9.8,30.5,51.5,8.1
E01011978,7.9,25,57.6,9.5
E01011979,12,29.7,52,6.2
E01011959,10.6,15.6,55.8,18
E01011960,8.3,24.2,56.8,10.7
E01011963,8.7,23.4,57,10.9
E01011968,10.3,21,58.5,10.1
E01011982,10.2,19.6,55.6,14.6
E01012003,7.8,18.1,61.3,12.8
E01012005,7.9,18.1,63.5,10.5
E01011965,11.1,19,58.8,11
E01011966,8.6,22.4,59.1,9.9
E01011974,7.9,19.9,61.5,10.6
E01011975,8.5,25.2,60.9,5.4
E01011983,10.6,16.7,59.6,13.1
E01012002,9,22.2,59.8,9
E01035188,8.9,25.4,59.2,6.5
E01012068,28.4,28.4,39.1,4.1
E01012092,19.7,36.8,38.6,4.9
E01012093,18,35.9,40.9,5.2
E01035189,12.6,18.1,63.8,5.5
E01035190,17.1,33.6,42.3,6.9
E01035191,12.2,22.4,58.5,6.9
E01035192,12.3,30.3,50,7.3
E01012058,10.5,22.3,56.7,10.5
E01012059,9.9,24.6,57.6,7.9
E01012060,13.7,28.6,52.5,5.2
E01012061,6.2,28.3,58.5,7.1
E01012036,15.9,25.6,51.2,7.3
E01012037,16.3,26.7,49.5,7.6
E01012038,14.5,33.1,49.3,3.1
E01012039,17.4,34.7,44.3,3.6
E01012040,18.9,27.6,46.2,7.3
E01012041,6.6,27.9,58.8,6.6
E01012074,9.5,29.3,56.8,4.4
E01012075,12.2,23.9,56.3,7.6
E01012076,10.7,31.5,52.3,5.6
E01012077,10.2,26.5,56.3,7
E01012088,7,24.5,62.8,5.7
E01012078,12.9,26.9,53.8,6.4
E01012079,9.5,20.9,60.2,9.5
E01012080,9.3,24.2,59.8,6.7
E01012081,10.7,21.8,57.1,10.5
E01012026,8,22.6,61.6,7.8
E01012027,8.3,26.8,57,7.8
E01033469,10.5,29.3,51.7,8.5
E01012015,9.2,27.3,56.7,6.9
E01012016,9.8,27.1,54.4,8.6
E01012017,11.2,22.4,58.1,8.4
E01012089,10.7,29.5,51.6,8.2
E01012090,11.2,27.1,53.7,8
E01012091,10.6,25.8,57.8,5.8
E01012011,11.1,28.2,55.2,5.5
E01012012,8.7,23.5,60.4,7.4
E01012013,8.6,23.8,59.3,8.3
E01012014,13.3,24,55.5,7.2
E01012053,8.9,24,57.7,9.5
E01012054,12,24.3,54.9,8.8
E01012055,8.9,21.7,57.4,11.9
E01012056,10.1,21.5,61.9,6.5
E01012057,7.9,21.7,62.9,7.5
E01012082,10,26.8,57.2,5.9
E01012083,9.3,29.5,56,5.2
E01012084,10.3,27.3,56,6.4
E01012085,12.1,30.7,50.1,7.1
E01012018,9.8,18.5,61.6,10.2
E01012019,13.3,26.9,55.3,4.5
E01012020,10.7,29.8,52,7.5
E01012021,8.1,26.1,60.7,5.1
E01012007,7.1,20.8,60.9,11.3
E01012008,9.8,21.4,61,7.8
E01012009,7,19.9,62.6,10.5
E01012010,9,21.7,58.4,10.9
E01012046,7.2,21.5,62.5,8.8
E01012047,9.5,23.4,57.1,10
E01012048,9.7,20,60.1,10.1
E01012049,8.6,21.5,58.2,11.7
E01012050,6.4,28.1,60.3,5.2
E01012051,9.6,25.1,59.5,5.8
E01012052,8.1,27.1,55.6,9.2
E01012022,6.7,16.2,64.5,12.6
E01012023,11.2,21.7,57.4,9.7
E01012024,8.5,19.5,64.4,7.6
E01012025,11.2,23.4,56,9.4
E01012065,9.1,18.3,60.7,12
E01012066,6.9,18.6,62.2,12.2
E01012067,10.6,22.3,57,10.1
E01012042,10.8,23.4,56.5,9.4
E01012043,8.5,26.4,56.1,9.1
E01012044,11.3,26.6,53.8,8.4
E01012045,10.7,32.5,49.1,7.7
E01032552,10.1,22.6,57.3,10
E01035193,8.1,17,62.5,12.5
E01035194,4.3,13.8,70.5,11.4
E01012030,8.7,20,60.9,10.4
E01012031,9.2,24,58.4,8.5
E01012032,10.7,19.8,60.7,8.8
E01012033,8.8,23.5,59.7,8.1
E01012034,8.5,23.9,57.1,10.4
E01012035,10,22.1,59.8,8
E01012062,7.6,18.8,62.6,11
E01012063,8.2,20.3,60.7,10.8
E01012071,11.2,20.6,56.6,11.6
E01012073,9.2,21.6,58.1,11.1
E01032593,9.6,19.4,57.4,13.6
E01035195,7.1,15.4,66.3,11.2
E01035196,7.7,15.6,66.8,9.8
E01012100,10.4,24.9,55.6,9
E01012101,9.6,20.4,58.7,11.4
E01012102,10.1,25.8,55.8,8.2
E01012184,11,26.7,53.3,9.1
E01012105,7,22.1,61.5,9.3
E01012142,10.5,24.1,56.7,8.7
E01012143,7.5,24.8,59.3,8.4
E01012144,8.2,22.7,58.2,10.9
E01012106,9.3,24.8,56.8,9.1
E01012107,12.1,26.3,51.6,10
E01032560,7.6,20.8,61.6,9.9
E01032561,9.5,24,55.1,11.4
E01012176,8.8,19.5,60.6,11.1
E01012177,8.7,23.9,57,10.4
E01012178,9.9,18.6,62.8,8.7
E01012179,7.7,19,62.9,10.3
E01012180,7.7,20.7,61.1,10.5
E01012185,7.4,25,58,9.5
E01012186,10.9,23.2,55.4,10.4
E01012127,9.8,32.1,52.7,5.4
E01012128,11.4,27,54.2,7.3
E01012129,7.2,22.9,58.1,11.8
E01012130,8.4,21.4,61.1,9
E01012131,12.7,24.6,54.2,8.5
E01012138,7.9,20.2,58.6,13.3
E01012139,9.1,18.9,61.7,10.3
E01012140,7.2,24.3,55.4,13.1
E01012141,8.1,20.9,64,7
E01012154,7.8,22.9,60.1,9.3
E01012155,8.5,20.9,60.9,9.8
E01012156,10.5,20.8,59,9.7
E01012157,11.2,23.1,55,10.7
E01012158,10.5,25,53.7,10.7
E01012159,13.6,19,54.7,12.7
E01012160,12.3,28.6,50.1,9
E01012161,10,21.7,54.9,13.3
E01012113,6.8,32.1,53.8,7.2
E01012114,7.3,26.7,56.9,9.2
E01012175,8.2,31.2,51.8,8.8
E01033471,9.9,29.7,52,8.4
E01012095,11.3,21.8,57.6,9.4
E01012097,12.2,24.3,56.1,7.4
E01012098,8.6,17.9,61.6,11.9
E01012099,8.7,25.6,56.3,9.4
E01012108,8.7,27,55.5,8.7
E01012109,8.5,19.8,60.3,11.5
E01012110,7.6,21.6,59.7,11.1
E01012111,10,24.6,57.6,7.7
E01012171,9.8,30.7,50.6,9
E01012172,9.5,20.9,61.1,8.5
E01012162,9.5,25,56.1,9.3
E01012163,9.4,19.7,59.8,11.1
E01012164,11.5,25.5,51.1,11.9
E01012165,10.8,23.4,57.2,8.5
E01012096,11.3,25.9,54.1,8.7
E01012136,9.6,25.5,56.8,8.1
E01033473,8.1,25.2,58.7,7.9
E01012112,7.6,34.7,50.1,7.6
E01012145,9.4,18.4,61.9,10.3
E01012147,8.7,21.2,57.7,12.3
E01012149,8.3,19.8,59.5,12.3
E01012132,11.1,21.6,54.9,12.4
E01012134,13.5,24.9,49.6,12
E01012137,8.7,21.4,56.3,13.6
E01012181,9.5,23.7,56.7,10.1
E01012117,10.6,17.7,60.2,11.5
E01012118,10.7,22.4,57.7,9.3
E01012119,10.8,20.7,55.5,13
E01012121,11.8,26.8,53.5,7.9
E01032548,11.3,20.1,56.9,11.7
E01032549,10.2,19.7,57.6,12.5
E01033472,10.5,23.9,55.3,10.3
E01012120,9.6,22,59.5,9
E01012124,8.9,19.1,57.3,14.6
E01012182,9.9,19.4,59.4,11.3
E01012183,9.4,21.2,59.1,10.3
E01012148,9.8,28.1,55.2,7
E01012150,9.1,30.6,50.8,9.5
E01012151,8.1,22.9,58.7,10.3
E01012152,8.7,18.4,60.1,12.8
E01032594,9.1,22.6,56.2,12.1
E01012146,9.7,19.8,57.9,12.6
E01012167,6.7,20.7,64.1,8.4
E01012168,6.8,22.8,61.2,9.1
E01012170,11.8,28.6,51.7,7.8
E01012173,7,19.3,64.4,9.3
E01012174,10.3,26,53.8,9.9
E01033470,10.4,26.5,55.1,7.9
E01012242,10.7,18.1,60.8,10.4
E01012243,6.5,19.7,63.3,10.5
E01012244,8.2,20.3,62.3,9.2
E01012246,7.9,20.8,61.5,9.9
E01012296,8.2,17.7,63.5,10.5
E01012297,7,17.7,64.2,11.2
E01012197,8.4,23.5,58.5,9.6
E01012256,8.7,20.3,61.9,9.1
E01012257,9.1,21.4,60.5,9
E01012275,7.4,23.9,63.4,5.3
E01012276,8.7,20.6,61.3,9.4
E01012277,10.2,26.9,55.4,7.5
E01012196,8.2,24.6,60.4,6.8
E01012198,10.1,25.6,54.7,9.7
E01012214,6.9,24,60.1,8.9
E01012215,9,24.8,58.1,8.1
E01012216,9.5,22.9,59.2,8.5
E01012245,13.2,27.7,52.1,7.1
E01012278,10.2,24.2,54.4,11.2
E01012279,9,22.2,61.5,7.3
E01012280,6.7,18.5,64.7,10
E01012281,10.5,25.3,56.1,8.1
E01012255,10.5,21.5,57,11
E01012269,11.1,17.7,56.2,14.9
E01012294,11,15.3,59.4,14.4
E01012295,10.2,20,60.1,9.7
E01033476,10,15.4,57.6,16.9
E01033480,9,15,59.7,16.2
E01012210,11.3,22.7,57.9,8.2
E01012211,6.2,18.5,62.8,12.4
E01012212,8.6,18.6,60.3,12.5
E01012213,7.8,22.7,60.1,9.4
E01012192,8.4,23.3,59.1,9.2
E01012193,8.2,25.6,59.8,6.3
E01012260,8.8,20.8,61.6,8.7
E01012261,6.3,22.6,63,8.1
E01012247,7.2,27.1,56.7,9
E01012249,8.5,27,58,6.5
E01012271,8.8,25.3,56.8,9.1
E01012272,8.1,20.8,61.3,9.7
E01012273,10.8,31.1,52.3,5.8
E01012274,7.2,24.7,60.2,8
E01012248,9.8,24,58.4,7.8
E01012250,6.8,23.5,60.6,9.1
E01032542,7.9,23.3,59.7,9.1
E01032543,10,29.8,53.3,7
E01032544,6.7,19.3,65,9
E01012194,7.2,24.1,61.4,7.3
E01012195,9.5,29.4,51.9,9.2
E01012258,17,26.3,47.8,8.9
E01012259,8.6,22.4,60.3,8.7
E01012268,7.4,18,66.8,7.8
E01012187,9.7,23.6,57.7,9
E01012188,7.7,21.7,61.7,8.9
E01012189,10.1,20.5,59.6,9.9
E01012205,9.9,19.1,62.5,8.4
E01012219,8.5,24.1,56.7,10.8
E01012251,12,25,55.3,7.6
E01012252,9.3,24.9,59.5,6.3
E01012253,12.6,22.5,53.8,11.1
E01012254,9.4,24.3,57.7,8.7
E01012204,12,20.8,58.7,8.6
E01012206,9.4,21.9,61.2,7.5
E01012207,9.8,19.6,61.4,9.2
E01012208,9.8,19.2,63.4,7.5
E01012190,8.4,20.9,61.1,9.6
E01012191,9.5,26.1,56.9,7.4
E01012224,8.8,19.1,61.9,10.2
E01012225,7.2,22.7,59.2,10.9
E01012226,9.5,20.6,62,7.9
E01012209,8.1,22.3,61,8.6
E01012217,9.7,25.9,55.9,8.6
E01012218,8.2,18.6,61.4,11.8
E01012223,11.8,17.3,61.5,9.4
E01012286,11.3,28.7,53.1,6.9
E01012287,8.6,19.5,63.5,8.4
E01012288,8.9,26.9,60.3,3.9
E01012289,11.4,22.3,58,8.2
E01012238,9.3,27,56.7,7
E01012239,7.5,20.7,63.6,8.1
E01012240,6.7,21.9,61.9,9.6
E01012241,8.7,24.2,59.7,7.4
E01012290,8.4,21.9,60.4,9.3
