LSOA code,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01011954,40.4,31.6,21.5,6.4,0.1
E01011969,50.7,33,14.8,1.5,0
E01011970,51.4,34.8,12.5,1.2,0
E01011971,62.6,28.3,8.7,0.4,0
E01033465,62,28.2,8.9,0.8,0
E01033467,50.9,30,15.6,3.4,0
E01011952,28.7,35.6,26.9,8,0.8
E01011953,28,34.2,27.5,10.1,0.2
E01011991,43.6,32.5,18.6,4.9,0.4
E01011992,42.4,31.5,19.3,6.7,0.1
E01011993,30.7,36.8,23.4,8.4,0.6
E01011994,24.5,34,25.3,15.7,0.6
E01011955,30,33.6,25.9,10.5,0
E01011957,37.8,34.4,22.5,4.8,0.6
E01032540,42.7,35.5,18.3,3.1,0.4
E01032541,33.4,36.4,22.8,7.4,0.1
E01033466,35.4,32.6,23.9,7.5,0.6
E01011951,35.6,34.8,22.9,6.6,0.2
E01011964,43.3,34.2,18.8,3.6,0
E01011967,50.9,31.3,14,3.6,0.2
E01011999,25.7,35.2,26.5,11.3,1.3
E01012000,25.6,33.5,26.7,13.9,0.3
E01011950,31.5,33.8,24.4,9.9,0.4
E01011986,42.5,35.2,19.3,3,0
E01011987,43.2,34,17.3,5.4,0
E01012001,33.8,32.3,24,9.6,0.4
E01011949,37.4,32.1,22.9,7.7,0
E01011980,29.4,33.6,28.1,8.8,0.1
E01011981,27,38.1,26,8.8,0.1
E01011984,46.5,37,15.1,1.4,0
E01011985,47.6,35.1,15.9,1.4,0
E01011988,39,34.1,20.1,6.5,0.2
E01011989,33.2,32.2,25.5,8.7,0.5
E01011990,45.6,33.4,15.4,5.6,0
E01011995,46.3,38.8,13.1,1.6,0.2
E01011996,46.7,33.8,16.4,3.2,0
E01011997,57.1,33.1,9,0.7,0
E01011998,56.8,29.8,11,2.1,0.3
E01011961,34.8,39.5,17.6,7.5,0.7
E01011962,35.3,34.5,23,7,0.2
E01011977,31.4,31.2,26.6,10.4,0.4
E01011978,27,34.1,27.2,11.1,0.6
E01011979,30.8,37.2,23.7,8,0.3
E01011959,63.5,28.5,7,0.8,0.2
E01011960,45.4,39,13.5,2.1,0
E01011963,49.5,34.8,14.2,1.5,0
E01011968,45.4,36,15.8,2.7,0
E01011982,65.2,29.9,4.6,0.3,0
E01012003,57,33.6,8.8,0.7,0
E01012005,64.9,29,5.6,0.6,0
E01011965,60.8,30.3,8.5,0.5,0
E01011966,50,32.7,12.5,4.4,0.3
E01011974,42.3,33.8,17.1,6.7,0
E01011975,39,35.6,20.2,5.2,0
E01011983,59.2,33.9,6.1,0.8,0
E01012002,42.2,35.6,17.2,4.7,0.2
