LSOA code,density
E01011954,5432.9
E01011969,1430.7
E01011970,2913.9
E01011971,6049.4
E01033465,4311.9
E01033467,5522
E01011952,3458.3
E01011953,2205.3
E01011991,4870.7
E01011992,1414.8
E01011993,2944.9
E01011994,1304.4
E01011955,4494.8
E01011957,4827.5
E01032540,3367
E01032541,3470.3
E01033466,6994.5
E01011951,5757.4
E01011964,6653.3
E01011967,10006.7
E01011999,2309.8
E01012000,2434.5
E01011950,7796.2
E01011986,4939.1
E01011987,8425.6
E01012001,1815.6
E01011949,3509.3
E01011980,2065.8
E01011981,3674.6
E01011984,2396.5
E01011985,3703.2
E01011988,3818.5
E01011989,704.4
E01011990,1864.1
E01011995,4879.2
E01011996,4018.6
E01011997,1292.2
E01011998,215
E01011961,4391.7
E01011962,5344.6
E01011977,5035.2
E01011978,4110.1
E01011979,7042.8
E01011959,69.3
E01011960,4504
E01011963,4777.4
E01011968,165.3
E01011982,863.3
E01012003,1225.5
E01012005,4297.9
E01011965,4386.5
E01011966,7005.4
E01011974,1734.5
E01011975,9909.5
E01011983,1881.1
E01012002,4750.9
E01035188,6987
E01012068,4919.6
E01012092,7813.4
E01012093,17684.2
E01035189,403.5
E01035190,1268.9
E01035191,6219
E01035192,10185.3
E01012058,10485.8
E01012059,3933.7
E01012060,3255.6
E01012061,1883.1
E01012036,15424.6
E01012037,8536.3
E01012038,16919.5
E01012039,10218.9
E01012040,15556.8
E01012041,2074.3
E01012074,4518.4
E01012075,2833.2
E01012076,6088.9
E01012077,3274.9
E01012088,5817.4
E01012078,11419.9
E01012079,6498.4
E01012080,2504.2
E01012081,7593.1
E01012026,5733.1
E01012027,5531.7
E01033469,4784.3
E01012015,6101.9
E01012016,3709.7
E01012017,4213.2
E01012089,4139.7
E01012090,4786
E01012091,3970.2
E01012011,2499.4
E01012012,4280.5
E01012013,1615
E01012014,5421.3
E01012053,6120
E01012054,7478.6
E01012055,5437.9
E01012056,8220.8
E01012057,3805.4
E01012082,5426.4
E01012083,5141
E01012084,5467.5
E01012085,5372.7
E01012018,2121.5
E01012019,6299.5
E01012020,3572.3
E01012021,1843.8
E01012007,1647.9
E01012008,4655.1
E01012009,4231.9
E01012010,3637.5
E01012046,1193
E01012047,4471.3
E01012048,3060.1
E01012049,4223.1
E01012050,7215.7
E01012051,6693.4
E01012052,2083.2
E01012022,1292.6
E01012023,2945
E01012024,4272.9
E01012025,5472
E01012065,2757.6
E01012066,1549.6
E01012067,3226.9
E01012042,3858.3
E01012043,3516.2
E01012044,3299.2
E01012045,5088.3
E01032552,4276.8
E01035193,632.6
E01035194,648.8
E01012030,2310.9
E01012031,2173.5
E01012032,3279.3
E01012033,3351.8
E01012034,936.4
E01012035,2644.9
E01012062,3632.4
E01012063,4868.5
E01012071,2516.4
E01012073,3513.7
E01032593,449.8
E01035195,1283.1
E01035196,1861.4
E01012100,3233.5
E01012101,4048.6
E01012102,7781.1
E01012184,5116.8
E01012105,3562
E01012142,3708.9
E01012143,8027.4
E01012144,4482.4
E01012106,4865
E01012107,75.4
E01032560,76.2
E01032561,2737.8
E01012176,3801.2
E01012177,3389.5
E01012178,2024.3
E01012179,4204.9
E01012180,4984.7
E01012185,7222.8
E01012186,3136.9
E01012127,6247.9
E01012128,6198.5
E01012129,5322.1
E01012130,3456.3
E01012131,3847.2
E01012138,425.9
E01012139,3404.2
E01012140,2231.4
E01012141,1547.6
E01012154,4090.4
E01012155,680.7
E01012156,3865.1
E01012157,4031.9
E01012158,1409.2
E01012159,5116.5
E01012160,1662.5
E01012161,1778.6
E01012113,5773.2
E01012114,2786.8
E01012175,6796.7
E01033471,1748.9
E01012095,235.5
E01012097,1543.2
E01012098,1202.9
E01012099,2855.8
E01012108,5677.2
E01012109,473.7
E01012110,6049.6
E01012111,5221.3
E01012171,4280.6
E01012172,5311.6
E01012162,1379.5
E01012163,739.7
E01012164,172
E01012165,3343.5
E01012096,694.3
E01012136,2293.7
E01033473,1602.8
E01012112,1319.7
E01012145,4809.1
E01012147,4269.8
E01012149,982.4
E01012132,60.3
E01012134,99.6
E01012137,57.5
E01012181,183.9
E01012117,3346.9
E01012118,8126.9
E01012119,106.7
E01012121,1554
E01032548,1739.7
E01032549,3321.9
E01033472,6315.9
E01012120,104.5
E01012124,85.3
E01012182,119.6
E01012183,607.1
E01012148,4184.7
E01012150,3071.2
E01012151,1170.9
E01012152,1899.9
E01032594,1507.7
E01012146,2613.6
E01012167,1917
E01012168,3882.9
E01012170,818.5
E01012173,2860.9
E01012174,3577.6
E01033470,952.2
E01012242,3376.8
E01012243,6275.6
E01012244,4866.7
E01012246,5003.9
E01012296,2563.5
E01012297,1351.2
E01012197,4578.9
E01012256,3844.7
E01012257,5662.6
E01012275,5043.5
E01012276,3343.8
E01012277,4958.8
E01012196,4037
E01012198,55.2
E01012214,5484.6
E01012215,5041.4
E01012216,916.5
E01012245,3493.9
E01012278,297.2
E01012279,1005.9
E01012280,4658.1
E01012281,4206.3
E01012255,1448.2
E01012269,41.9
E01012294,131.9
E01012295,251.3
E01033476,529.6
E01033480,134.3
E01012210,1961.7
E01012211,1905.4
E01012212,3080.7
E01012213,4419.7
E01012192,5000
E01012193,5563.9
E01012260,2851.6
E01012261,2023.4
E01012247,4698.7
E01012249,2607.2
E01012271,3458.1
E01012272,4940.7
E01012273,6355.6
E01012274,4500
E01012248,2726.1
E01012250,2318.6
E01032542,9034.1
E01032543,7390.1
E01032544,3364.6
E01012194,4699.9
E01012195,5616.9
E01012258,1327.1
E01012259,5726.3
E01012268,5032
E01012187,1399.3
E01012188,1121.8
E01012189,5481.5
E01012205,5168.3
E01012219,3374.8
E01012251,7252.2
E01012252,3580.7
E01012253,3618
E01012254,2898.6
E01012204,3091.7
E01012206,3793.2
E01012207,2375.1
E01012208,4832
E01012190,3596.3
E01012191,4930.4
E01012224,5055.3
E01012225,663.5
E01012226,3384.6
E01012209,4669.1
E01012217,6627.2
E01012218,2593.8
E01012223,981.8
E01012286,1330.1
E01012287,1851.6
E01012288,9082.9
E01012289,772.9
E01012238,3902.6
E01012239,6240.2
E01012240,3528.9
E01012241,3375.4
E01012290,2708.4
E01012291,3652.8
E01012292,5425.2
E01012282,1012.2
E01012283,1297.6
E01012284,2872.3
E01012285,2106.9
E01012199,623.3
E01012200,2253.9
E01012201,2187.9
E01012202,3719.3
E01012203,1015.9
E01012270,1675.7
E01012228,4338.4
E01012230,5091.5
E01012233,148.9
E01012236,2582
E01012237,3645.3
E01012235,180.1
