LSOA code,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English
E01013656,30.4,13.8,19.4,22.6,13.7
E01013658,29.6,16,23,19.9,11.4
E01013654,41.3,13.5,17.5,17.3,10.4
E01034730,53,7.6,15,14,10.4
E01013719,30.8,16,23.8,19.5,9.9
E01013720,33.9,13.7,25.5,17.4,9.6
E01013743,45.4,11.6,15.8,18.2,9
E01013715,34.6,14,21.9,20.6,8.8
E01034009,35.5,14.7,20.4,20.8,8.7
E01013714,37.1,14.9,20.9,18.6,8.6
E01013655,43.2,14.4,16.6,17.3,8.6
E01013718,37.5,13.5,20.3,20.3,8.5
E01013657,50.2,12,16.1,13.9,7.8
E01013713,34.1,12.7,23.2,22.4,7.6
E01003185,75.8,7.2,4.6,5.2,7.2
E01023144,56.6,12.2,14.4,9.8,7
E01013659,45.3,11.6,18.2,17.9,7
E01013625,40.5,15.3,19.1,18.2,6.9
E01013742,52.3,11.8,13.3,16,6.7
E01013626,39.4,15,21.5,17.7,6.4
E01013627,45.6,16.3,17.7,14.2,6.2
E01034008,38.9,17.6,21,16.4,6.1
E01013665,54.8,12.3,16.1,11.1,5.9
E01000473,47.5,15.6,16.9,14.1,5.8
E01013630,38.1,17.5,21.3,17.4,5.7
E01013746,48.4,12.9,19.3,13.8,5.6
E01013662,50.2,11,17.1,16.2,5.6
E01013717,50.8,13.5,16.4,13.8,5.5
E01033880,51.4,9.4,15.6,18.1,5.5
E01000477,41.6,16.8,20.3,16.3,5.1
E01013744,57,11.1,14.4,12.3,5.1
E01013629,42.6,17.6,19.2,15.6,4.9
E01013745,54,11.8,13,16.3,4.9
E01010049,46.3,11.5,19.3,18.1,4.9
E01000633,44.5,14,22.8,14,4.8
E01000632,44.9,18,19.5,13,4.7
E01013628,54.6,12.1,16,12.5,4.7
E01023145,67,8.5,12,7.8,4.7
E01026032,49.6,10.4,18.1,17.4,4.5
E01010048,44,14.1,21.1,16.4,4.4
E01013753,54,13.2,15.6,12.8,4.4
E01013752,51.8,13,15.4,15.4,4.4
E01009350,64.4,7.6,12.3,11.3,4.4
E01000474,49.2,13.4,21,12.1,4.3
E01013660,58.1,11.1,15.2,11.3,4.3
E01034681,49.3,9.5,20.6,16.4,4.2
E01000476,48.7,13.7,18.1,15.4,4.1
E01034919,66,6.5,10.4,13,4.1
E01010428,48.9,11.9,21.3,13.8,4
E01004239,72.4,6.2,7.9,9.5,4
E01013750,52.9,12.7,18.2,12.3,3.9
E01013748,59.9,10,15.5,10.7,3.9
E01005450,62.7,8.2,14.1,11,3.9
E01012868,68.8,7.3,11.2,8.8,3.9
E01025229,63.7,6.9,13.5,12.1,3.9
E01010433,51.2,14.3,16.5,14.1,3.8
E01010047,60.3,12,12.8,11,3.8
E01033900,62.8,8.5,13.1,11.8,3.8
E01034924,72.1,6.6,8.4,9,3.8
E01033653,67,15.7,8,5.6,3.7
E01018487,59.6,8.7,16.5,11.5,3.7
E01015725,56.8,8.3,16.1,15.1,3.7
E01033901,65.8,6.7,12.8,11,3.7
E01013762,52.6,14.9,16.3,12.5,3.6
E01001334,57.9,13.4,14.1,11,3.6
E01013653,64.5,9.7,12.1,10.1,3.6
E01009483,64.5,9,11.3,11.5,3.6
E01009482,69.3,8.5,9.7,8.9,3.6
E01009192,68.4,8.1,8.6,11.4,3.5
E01025188,64.3,7.2,14.5,10.4,3.5
E01000478,47.5,16.3,19.1,13.7,3.4
E01013755,52.7,14.2,17.5,12.1,3.4
E01013624,61.1,13.2,13.5,8.9,3.4
E01034682,46.2,12.1,21.9,16.4,3.4
E01013747,56.2,10.9,16.1,13.4,3.4
E01010606,61.4,8.3,15.2,11.8,3.4
E01010608,65.2,7.5,12.5,11.4,3.4
E01008906,68.2,7.4,9.7,11.3,3.4
E01005351,70.4,6.6,8.9,10.7,3.4
E01025182,67.5,4.9,13.7,10.5,3.4
E01001274,55.4,16.5,13.9,11,3.3
E01016405,57.2,14.8,17,7.7,3.3
E01013765,53.6,13.3,16.1,13.6,3.3
E01012872,62,8.7,14.3,11.8,3.3
E01010054,73.9,7,8.8,6.9,3.3
E01009328,70.4,6.9,9.6,9.7,3.3
E01005459,71,5.7,8.5,11.5,3.3
E01010841,69.7,5.2,10.4,11.4,3.3
E01003628,51.1,14.5,20.1,11.2,3.2
E01013761,56.5,12.7,15.8,11.8,3.2
E01010050,59.7,11.6,13.5,11.9,3.2
E01034946,74.8,9.8,7.8,4.5,3.2
E01015729,59.1,8.2,16.4,13.1,3.2
E01009987,67.7,6.8,9.9,12.4,3.2
E01005353,70.6,4.5,8.4,13.3,3.2
E01013663,57,13.1,14.6,12.3,3.1
E01005233,53.4,12.5,18.7,12.3,3.1
E01013751,53.9,12.3,17.6,13.1,3.1
E01009986,63.9,12.2,11.1,9.6,3.1
E01034921,52.9,11.4,17.7,14.9,3.1
E01004846,66.2,11,12.8,6.8,3.1
E01009337,64.5,8.9,11.7,11.9,3.1
E01013847,64.1,8.2,15.3,9.3,3.1
E01011144,64.3,7,13.2,12.4,3.1
E01004869,67.3,6.8,13.1,9.7,3.1
E01005427,67.5,6.8,11.4,11.2,3.1
E01005583,65,6.8,10.3,14.9,3.1
E01025230,65.2,6.7,12.4,12.7,3.1
E01005349,65.4,5.6,11.4,14.5,3.1
E01033650,69.3,5,11.3,11.3,3.1
E01034011,56,18.9,15.8,6.4,3
E01013754,49.9,17.4,17.4,12.3,3
E01033916,48,17.4,20,11.7,3
E01000640,57,12.1,16.7,11.3,3
E01009565,61.7,11.7,13.5,10.1,3
E01002038,60.4,10.6,13.8,12.2,3
E01005237,60.5,9.6,15.5,11.5,3
E01015704,58.7,9.5,15.6,13.2,3
E01005280,70.5,9.2,10,7.3,3
E01026036,57.5,8.6,17.3,13.6,3
E01034933,67.5,8.2,11,10.2,3
E01005429,69.4,7.1,10.1,10.5,3
E01010620,68.9,7,11.1,10,3
E01009338,67.9,6.5,11.3,11.3,3
E01010617,72.1,6,10.7,8.2,3
E01034235,69.7,5.9,9.7,11.6,3
E01025184,68.1,5.2,13.3,10.4,3
E01035618,43.7,15,21.6,16.8,2.9
E01002044,60.2,14,11.6,11.4,2.9
E01015604,50.2,13,18.1,15.8,2.9
E01001675,57.3,12.9,19.3,7.6,2.9
E01002066,60.2,11.5,11.8,13.6,2.9
E01010342,63.8,11.1,12.5,9.8,2.9
E01003125,69.3,10.7,11.3,5.9,2.9
E01010478,62.6,10.4,14.4,9.6,2.9
E01010836,62.7,10.1,13.4,11,2.9
E01002051,62.2,8.8,16.6,9.5,2.9
E01024895,67.5,7.1,13.7,8.7,2.9
E01011257,68.7,7,10.2,11.2,2.9
E01009062,69.3,7,9.1,11.7,2.9
E01010808,70.9,6.1,10.1,9.9,2.9
E01011017,69,6,10.5,11.6,2.9
E01009396,69.9,5.9,10.2,11.2,2.9
E01005326,73.6,4.6,9.6,9.2,2.9
E01001373,56.5,16.6,15.7,8.5,2.8
E01000471,49.7,16.3,20.3,10.8,2.8
E01004306,70.1,13.4,7.2,6.6,2.8
E01034680,54.2,13.3,16.9,12.9,2.8
E01001673,60.5,12.4,16,8.3,2.8
E01012871,56.2,10.5,17.5,13,2.8
E01015603,53.3,10.2,19.6,14.1,2.8
E01013483,65.3,9.9,12.9,9,2.8
E01023105,74.2,9.9,9.5,3.6,2.8
E01013485,60.7,9.1,16.4,11,2.8
E01001979,65.5,9.1,13.2,9.4,2.8
E01009373,67,8.3,10.5,11.4,2.8
E01007913,62.7,7.8,15,11.6,2.8
E01010621,70.8,7,10.1,9.4,2.8
E01011082,68.8,7,11.2,10.2,2.8
E01035681,73.5,6.8,9.4,7.5,2.8
E01009491,72,6.7,9.3,9.2,2.8
E01012573,70.7,6.6,10.7,9.3,2.8
E01024875,63.9,6.6,14,12.7,2.8
E01009053,69.1,6.5,11.3,10.4,2.8
E01005354,77.4,5,7.2,7.7,2.8
E01014463,89.6,2.7,2.6,2.3,2.8
E01013740,52.5,18,17.2,9.5,2.7
E01001297,53.1,15.6,17.3,11.3,2.7
E01003629,49.1,14.3,20.6,13.3,2.7
E01013567,56.4,12.1,17,11.8,2.7
E01013651,61.6,12.1,15.9,7.7,2.7
E01005428,60.6,11.9,14.8,10,2.7
E01004319,63.8,11.2,11.5,10.9,2.7
E01033649,66.4,11,10.5,9.3,2.7
E01002048,67.8,11,9.9,8.6,2.7
E01005234,62,10.5,13.3,11.5,2.7
E01013763,61.7,10.5,13.7,11.4,2.7
E01024878,65.8,9.8,10.8,10.9,2.7
E01010838,61.5,9.8,14.9,11,2.7
E01010812,62.4,9.4,14.7,10.8,2.7
E01011430,62.2,9.4,14.9,10.8,2.7
E01013760,65.4,9.3,13.4,9.1,2.7
E01011429,68.1,8.8,11.2,9.3,2.7
E01013300,54.5,8.4,20.3,14.2,2.7
E01009275,66.6,8.4,11.9,10.4,2.7
E01004871,63.8,8.2,15.4,9.9,2.7
E01024877,68.6,7.8,9.5,11.3,2.7
E01012575,73,7.6,8.8,8,2.7
E01009266,63.8,7.5,14.6,11.4,2.7
E01004812,65,7.4,13.4,11.6,2.7
E01009353,66.5,7.4,13,10.4,2.7
E01009372,68.2,7.4,10,11.8,2.7
E01010624,66.2,6.7,12.9,11.5,2.7
E01008905,66.7,6.1,10.6,14,2.7
E01010965,71.8,5.7,10,9.7,2.7
E01010733,72,4.5,11.6,9.2,2.7
E01026488,74.7,4.3,9.4,8.9,2.7
E01012385,92.6,1.3,1.2,2.1,2.7
E01000475,52.3,16.9,18.6,9.4,2.6
E01002087,60.3,14.6,14.3,8.2,2.6
E01033935,60,14.5,13.5,9.4,2.6
E01007769,52,14.3,17.3,13.9,2.6
E01001369,55,14.2,17.5,10.6,2.6
