LSOA,Female,Male
E01002900,69.7,30.3
E01010637,64.2,35.8
E01025490,63.3,36.7
E01022127,62.3,37.7
E01030861,61.3,38.7
E01016607,60.5,39.5
E01011445,60.4,39.6
E01031898,60.4,39.6
E01017839,60.3,39.7
E01025491,60.1,39.9
E01030714,60.1,39.9
E01034379,60,40
E01002910,59.9,40.1
E01002862,59.7,40.3
E01002884,59.6,40.4
E01004568,59.5,40.5
E01004015,59.4,40.6
E01024048,59.2,40.8
E01024789,59.2,40.8
E01011938,58.9,41.1
E01018651,58.8,41.2
E01025144,58.6,41.4
E01032315,58.5,41.5
E01011678,58.4,41.6
E01031490,58.3,41.7
E01035521,58.2,41.8
E01032564,58.1,41.9
E01033599,58.1,41.9
E01011448,58,42
E01028348,58,42
E01002992,58,42
E01029697,57.9,42.1
E01021202,57.8,42.2
E01018502,57.7,42.3
E01025488,57.7,42.3
E01006598,57.7,42.3
E01034404,57.7,42.3
E01008607,57.6,42.4
E01004491,57.6,42.4
E01002882,57.5,42.5
E01024025,57.5,42.5
E01002867,57.4,42.6
E01003175,57.3,42.7
E01023056,57.3,42.7
E01024131,57.3,42.7
E01034940,57.2,42.8
E01001822,57.2,42.8
E01032133,57,43
E01008958,57,43
E01004677,57,43
E01016181,57,43
E01021111,57,43
E01030560,57,43
E01033760,56.9,43.1
E01028408,56.9,43.1
E01034944,56.9,43.1
E01018808,56.9,43.1
E01028925,56.8,43.2
E01001905,56.8,43.2
E01034042,56.8,43.2
E01002914,56.8,43.2
E01003041,56.8,43.2
E01028537,56.8,43.2
E01007297,56.7,43.3
E01021633,56.7,43.3
E01000595,56.7,43.3
E01001424,56.7,43.3
E01001906,56.7,43.3
E01002876,56.7,43.3
E01004177,56.7,43.3
E01004574,56.7,43.3
E01033598,56.7,43.3
E01023251,56.7,43.3
E01033235,56.7,43.3
E01027453,56.6,43.4
E01013363,56.6,43.4
E01029576,56.6,43.4
E01008918,56.6,43.4
E01000866,56.6,43.4
E01001961,56.6,43.4
E01001960,56.6,43.4
E01002832,56.6,43.4
E01030318,56.6,43.4
E01034281,56.6,43.4
E01020544,56.6,43.4
E01028957,56.5,43.5
E01001742,56.5,43.5
E01002710,56.5,43.5
E01002858,56.5,43.5
E01003301,56.5,43.5
E01028434,56.5,43.5
E01030459,56.5,43.5
E01008055,56.4,43.6
E01009494,56.4,43.6
E01009621,56.4,43.6
E01004501,56.4,43.6
E01004687,56.4,43.6
E01035257,56.4,43.6
E01023070,56.4,43.6
E01030885,56.4,43.6
E01014717,56.4,43.6
E01020019,56.4,43.6
E01005099,56.3,43.7
E01011667,56.3,43.7
E01033008,56.3,43.7
E01009124,56.3,43.7
E01034936,56.3,43.7
E01009286,56.3,43.7
E01015772,56.3,43.7
E01001793,56.3,43.7
E01002869,56.3,43.7
E01003065,56.3,43.7
E01023281,56.3,43.7
E01035375,56.2,43.8
E01006732,56.2,43.8
E01007029,56.2,43.8
E01009445,56.2,43.8
E01000750,56.2,43.8
E01001130,56.2,43.8
E01001562,56.2,43.8
E01002720,56.2,43.8
E01004493,56.2,43.8
E01016914,56.2,43.8
E01021026,56.2,43.8
E01019956,56.2,43.8
E01025518,56.1,43.9
E01005379,56.1,43.9
E01006467,56.1,43.9
E01006642,56.1,43.9
E01007616,56.1,43.9
E01014226,56.1,43.9
E01009101,56.1,43.9
E01034384,56.1,43.9
E01000900,56.1,43.9
E01034026,56.1,43.9
E01033146,56.1,43.9
E01001775,56.1,43.9
E01003202,56.1,43.9
E01003308,56.1,43.9
E01003347,56.1,43.9
E01003800,56.1,43.9
E01016427,56.1,43.9
E01023042,56.1,43.9
E01006746,56,44
E01013821,56,44
E01026164,56,44
E01023573,56,44
E01000457,56,44
E01001066,56,44
E01001549,56,44
E01002150,56,44
E01002854,56,44
E01002907,56,44
E01002842,56,44
E01003190,56,44
E01003236,56,44
E01018840,56,44
E01008481,55.9,44.1
E01005366,55.9,44.1
E01006756,55.9,44.1
E01032487,55.9,44.1
E01019817,55.9,44.1
E01025946,55.9,44.1
E01015801,55.9,44.1
E01021985,55.9,44.1
E01032569,55.9,44.1
E01001442,55.9,44.1
E01001935,55.9,44.1
E01002016,55.9,44.1
E01003215,55.9,44.1
E01003776,55.9,44.1
E01004391,55.9,44.1
E01004616,55.9,44.1
E01033851,55.9,44.1
E01028523,55.9,44.1
E01030561,55.9,44.1
E01012213,55.8,44.2
E01027411,55.8,44.2
E01012420,55.8,44.2
E01006643,55.8,44.2
E01033399,55.8,44.2
E01033617,55.8,44.2
E01026857,55.8,44.2
E01000908,55.8,44.2
E01001056,55.8,44.2
E01001245,55.8,44.2
E01001586,55.8,44.2
E01001911,55.8,44.2
E01001953,55.8,44.2
E01002912,55.8,44.2
E01003075,55.8,44.2
E01003219,55.8,44.2
E01004011,55.8,44.2
E01020932,55.8,44.2
E01021121,55.8,44.2
E01023255,55.8,44.2
E01024443,55.8,44.2
E01014430,55.8,44.2
E01022247,55.8,44.2
E01025500,55.7,44.3
E01007207,55.7,44.3
E01007124,55.7,44.3
E01013849,55.7,44.3
E01009832,55.7,44.3
E01030211,55.7,44.3
E01000720,55.7,44.3
E01033729,55.7,44.3
E01001726,55.7,44.3
E01001902,55.7,44.3
E01002816,55.7,44.3
E01002911,55.7,44.3
E01003911,55.7,44.3
E01004048,55.7,44.3
E01004385,55.7,44.3
E01033602,55.7,44.3
E01004691,55.7,44.3
E01035721,55.7,44.3
E01034290,55.7,44.3
E01031413,55.7,44.3
E01034380,55.7,44.3
E01008609,55.6,44.4
E01018606,55.6,44.4
E01006734,55.6,44.4
E01013343,55.6,44.4
E01011201,55.6,44.4
E01011473,55.6,44.4
E01032981,55.6,44.4
E01026350,55.6,44.4
E01010400,55.6,44.4
E01010548,55.6,44.4
E01000209,55.6,44.4
E01001052,55.6,44.4
E01001951,55.6,44.4
E01002060,55.6,44.4
E01002225,55.6,44.4
E01002771,55.6,44.4
E01002840,55.6,44.4
E01002843,55.6,44.4
