LSOA code,Owned,Shared ownership,Social rented,Private rented,Lives rent free
E01011954,55.6,0.2,27.2,17,0
E01011969,84.5,0,3.7,11.8,0
E01011970,90.3,0.2,1.2,8.2,0
E01011971,87.5,0.8,1.9,9.8,0
E01033465,78.9,0,4.5,16.6,0
E01033467,61.3,4.4,23.6,10.7,0
E01011952,37.5,1.8,46.2,14.5,0
E01011953,29.4,1,55.3,14,0.2
E01011991,61.3,0,23.1,15.3,0.3
E01011992,45.4,0.5,33.4,20.7,0
E01011993,36.8,0.2,45.1,17.1,0.8
E01011994,25.5,0,63.5,10.7,0.3
E01011955,38.5,0.7,43.1,17.5,0.2
E01011957,53.2,2,20.2,24.6,0
E01032540,55,6.4,25.6,13,0
E01032541,48,0.3,36.8,14.5,0.4
E01033466,33.9,1.5,44.6,19.5,0.5
E01011951,40.2,0.6,14.6,44.1,0.5
E01011964,70.8,0,9.7,19.5,0
E01011967,80.6,0.2,3,16.2,0
E01011999,29.5,0.1,26,44.4,0
E01012000,16.9,0,66.7,16.1,0.3
E01011950,45.8,0.4,10.8,41.8,1.3
E01011986,76.8,0.4,9,13.8,0
E01011987,61.3,0.3,6.8,31.5,0.2
E01012001,32.6,1.4,47.7,18.2,0.1
E01011949,57.7,0.5,25.6,15.9,0.3
E01011980,38.3,0.9,44,16.4,0.4
E01011981,34.9,0.6,46.8,17.2,0.6
E01011984,92.1,0.5,1.9,5.5,0
E01011985,76.4,0.2,3.5,19.9,0
E01011988,55.9,0.2,31.8,11.8,0.2
E01011989,41.7,0,47.2,10.6,0.5
E01011990,68.9,0,16.4,14.8,0
E01011995,92.1,0.3,0.9,6.6,0
E01011996,73.5,0.3,8.7,17.5,0
E01011997,87.1,0.2,4.3,8.3,0.1
E01011998,77.5,0.2,11.5,10.7,0.1
E01011961,57.7,0,26.5,15.4,0.3
E01011962,47.8,0.3,39.7,12,0.2
E01011977,34.6,0.3,44.3,20.7,0.1
E01011978,26.3,0.1,54.3,18.9,0.4
E01011979,34.9,0,46.3,18.6,0.2
E01011959,82.8,0,5,12.2,0
E01011960,92,0.2,2.1,5.7,0
E01011963,85.4,0,2.3,12.3,0
E01011968,69.1,0.3,17.7,12.8,0.1
E01011982,93.5,2.1,1.2,3.3,0
E01012003,89.9,0.1,1.3,8.6,0
E01012005,84.9,0,3.9,11.2,0
E01011965,94.9,0,1.1,3.8,0.2
E01011966,70.2,0.2,10.5,18.9,0.2
E01011974,20.6,0.2,23.6,55.6,0
E01011975,54,0.2,7.8,38,0
E01011983,92.2,0,1.7,6.1,0
E01012002,66.8,0,8.9,24.2,0.2
E01035188,34.1,1.4,26.5,37.7,0.3
E01012068,11.3,0.1,26.2,61.9,0.4
E01012092,22.5,0.5,32.2,44.4,0.3
E01012093,26.8,0.3,9.9,63,0
E01035189,7.8,0,68.8,23.3,0.1
E01035190,24,0.5,37.1,38.3,0.2
E01035191,45.5,0,17.2,36.9,0.4
E01035192,42.9,0.5,14.2,42.2,0.2
E01012058,29.4,0.3,10.7,59.4,0.3
E01012059,29.6,0.8,30.4,38.3,0.9
E01012060,31.4,0,49.5,19,0.1
E01012061,47.1,0,32.1,20.6,0.2
E01012036,24,0.2,10.7,64.7,0.3
E01012037,29.3,0.6,15,54.9,0.2
E01012038,33.6,0,7.8,58.4,0.2
E01012039,18.4,0.3,10.8,70,0.5
E01012040,25.7,0,10.3,64,0
E01012041,14.4,0.8,71.8,11.1,1.8
E01012074,52.3,0.5,29.4,17.8,0
E01012075,35.9,0.2,42.1,21.2,0.6
E01012076,27.3,0,52.9,18.9,0.8
E01012077,46.9,0.3,39.7,12.6,0.5
E01012088,48.7,1.4,36.2,13.4,0.3
E01012078,35.3,0.2,12,51.9,0.6
E01012079,74.5,0.4,4.3,20.8,0
E01012080,71.4,0,6.8,21.9,0
E01012081,62.5,0.8,7.1,29.3,0.3
E01012026,77.4,0.6,6.3,15.6,0
E01012027,34.6,1.8,50.5,12.5,0.6
E01033469,34.2,0,51.9,13.8,0
E01012015,39,0.3,49.3,11,0.4
E01012016,30.6,1,46.9,21.3,0.2
E01012017,66.5,0,13.5,19.8,0.1
E01012089,26.2,0.3,59.3,13.6,0.6
E01012090,24.6,0.1,62.4,12.5,0.4
E01012091,36.1,0.1,52.7,11.1,0
E01012011,35,1.9,52.2,10.6,0.3
E01012012,82.1,0.2,1.9,15.8,0
E01012013,58.2,0.5,17.6,23.7,0
E01012014,38.4,0.3,35.2,25.7,0.3
E01012053,80.9,2.2,2.1,14.8,0
E01012054,75,0,4.1,20.9,0
E01012055,76,0.9,1.8,21,0.3
E01012056,48.8,0.8,8.3,41.9,0.2
E01012057,65.6,2.9,4.9,26.5,0
E01012082,47.4,0,35.3,17,0.3
E01012083,37.1,2.2,39.5,20.9,0.3
E01012084,28.8,0.3,52.8,17.8,0.3
E01012085,37.9,0,40.9,20.9,0.3
E01012018,38.6,0.6,26.4,34.1,0.3
E01012019,14.2,0.2,81,4.5,0.2
E01012020,48.9,0.3,35.1,15.6,0
E01012021,36.5,0.2,43.1,19.4,0.8
E01012007,83.2,0,1.5,15.3,0
E01012008,87.2,0,2.4,10.2,0.2
E01012009,75,0,1.1,23.9,0
E01012010,91.8,0,0.7,7.5,0
E01012046,84.2,0,1.6,14.2,0
E01012047,83.1,0.2,6.7,10,0
E01012048,89.2,0,1.2,9.5,0.1
E01012049,77.4,1.1,4.1,17.3,0
E01012050,40.6,0.3,33.2,25.9,0
E01012051,48.5,0.2,27.5,23.2,0.6
E01012052,77.5,0,9.4,13,0
E01012022,82.9,0.7,5.4,10.9,0
E01012023,86.9,0.4,2,10.7,0
E01012024,85.5,0.6,0.6,13.1,0.3
E01012025,88.5,0.8,1,9.8,0
E01012065,83.9,1.1,5.1,9.9,0
E01012066,87.1,1.8,1.1,10,0
E01012067,87.3,0.4,6.2,6.1,0
E01012042,40.5,0.3,48.3,11,0
E01012043,80.1,0,8.6,11.2,0.2
E01012044,19.6,0,71,9.2,0.2
E01012045,23.5,0.5,60.9,14.9,0.2
E01032552,62.4,0.1,28.5,9,0
