LSOA code,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E01000001,16.08796296,5.208333333,0.347222222,0.578703704,3.819444444,73.95833333
E01000002,13.53811149,3.185437998,0.682593857,0.568828214,5.119453925,76.90557452
E01000003,22.62262262,8.008008008,0.3003003,0.500500501,6.706706707,61.86186186
E01000005,34.73895582,14.0562249,0.803212851,0.803212851,8.835341365,40.76305221
E01000006,17.15575621,30.248307,5.643340858,2.031602709,23.25056433,21.67042889
E01000007,14.06926407,38.52813853,5.122655123,2.308802309,13.27561328,26.6955267
E01000008,16.71826625,39.78328173,4.024767802,1.393188854,25.69659443,12.38390093
E01000009,16.24365482,30.45685279,6.598984772,2.664974619,23.35025381,20.68527919
E01000011,16.30434783,31.52173913,4.483695652,1.630434783,27.58152174,18.47826087
E01000012,16.46273637,32.03559511,3.559510567,1.668520578,25.36151279,20.91212458
E01000013,21.6957606,27.43142145,8.603491272,1.74563591,24.81296758,15.71072319
E01000014,22.11055276,27.7638191,5.653266332,1.75879397,24.3718593,18.34170854
E01000015,20.22577611,26.34054563,8.184383819,1.505174036,24.74129821,19.0028222
E01000016,23.84259259,28.125,7.060185185,1.736111111,21.99074074,17.24537037
E01000017,23.06666667,26.66666667,7.066666667,2.133333333,22.66666667,18.4
E01000018,21.36854742,27.25090036,8.523409364,1.200480192,24.48979592,17.16686675
E01000019,24.89019034,23.42606149,6.002928258,2.049780381,24.89019034,18.74084919
E01000020,24.1301908,24.80359147,5.723905724,1.346801347,23.56902357,20.42648709
E01000021,23.90670554,26.53061224,4.664723032,1.749271137,26.09329446,17.05539359
E01000022,24.92163009,23.35423197,5.642633229,1.410658307,23.04075235,21.63009404
E01000024,23.44497608,30.62200957,4.465709729,1.594896332,23.12599681,16.74641148
E01000025,19.73840666,31.27229489,5.826397146,1.426872771,20.80856124,20.9274673
E01000027,20.07481297,27.55610973,7.2319202,1.122194514,26.43391521,17.58104738
E01000028,21.78362573,25.73099415,8.625730994,1.461988304,23.97660819,18.42105263
E01000029,19.25064599,26.35658915,6.976744186,1.550387597,21.70542636,24.16020672
E01000030,17.82786885,27.25409836,9.221311475,1.536885246,21.20901639,22.95081967
E01000031,16.60329531,24.96831432,8.491761724,1.140684411,18.12420786,30.67173638
E01000032,17.5,29.43181818,4.886363636,2.159090909,23.52272727,22.5
E01000033,25.33783784,30.91216216,6.587837838,1.52027027,21.11486486,14.52702703
E01000034,22.86585366,22.40853659,7.926829268,1.829268293,23.62804878,21.34146341
E01000035,18.97184823,28.64137087,6.609547124,1.46878825,25.33659731,18.97184823
E01000036,13.62318841,28.98550725,10.43478261,1.304347826,24.63768116,21.01449275
E01000037,22.83372365,22.24824356,8.079625293,0.93676815,19.32084309,26.58079625
E01000038,22.34993614,24.77650064,6.641123883,1.149425287,19.79565773,25.28735632
E01000039,19.02439024,22.19512195,7.56097561,1.219512195,23.65853659,26.34146341
E01000040,21.35135135,30,5,0.675675676,22.56756757,20.40540541
E01000041,20.21791768,31.8401937,5.205811138,2.179176755,24.81840194,15.73849879
E01000042,18.50282486,36.44067797,2.966101695,1.553672316,22.59887006,17.93785311
E01000043,20.91038407,29.72972973,3.840682788,1.137980085,24.32432432,20.056899
E01000044,18.84057971,30.43478261,3.232998885,2.452619844,28.87402453,16.16499443
E01000045,16.6437414,30.67400275,5.364511692,1.788170564,26.82255846,18.70701513
E01000046,20.04662005,32.98368298,5.944055944,2.564102564,22.72727273,15.73426573
E01000049,24.96307238,36.92762186,4.135893648,1.772525849,22.00886263,10.19202363
E01000050,16.87041565,33.37408313,4.523227384,2.322738386,19.68215159,23.22738386
E01000051,13.85964912,34.21052632,5.438596491,0.526315789,17.19298246,28.77192982
E01000052,17.507724,32.85272915,3.604531411,2.162718847,23.48094748,20.39134912
E01000053,16.49782923,31.69319826,6.657018813,2.170767004,26.91751085,16.06367583
E01000054,21.54222766,29.86536108,5.507955936,1.346389229,24.23500612,17.50305998
E01000055,19.65240642,33.15508021,7.887700535,2.272727273,22.05882353,14.97326203
E01000056,21.18644068,30.93220339,5.93220339,1.694915254,23.8700565,16.38418079
E01000057,19.09090909,29.39393939,8.787878788,3.333333333,22.42424242,16.96969697
E01000058,18.67535288,31.9218241,6.080347448,2.823018458,25.73289902,14.76655809
E01000059,18.87755102,32.5255102,6.887755102,1.658163265,24.61734694,15.43367347
E01000060,23.19173364,24.2250287,8.266360505,1.836969001,22.50287026,19.97703789
E01000061,27.64550265,25.79365079,7.142857143,2.248677249,17.1957672,19.97354497
E01000062,21.46341463,25.46341463,7.902439024,1.073170732,25.17073171,18.92682927
E01000063,24.3412798,27.60351317,4.516938519,1.254705144,23.33751568,18.94604768
E01000064,19.80487805,27.80487805,9.073170732,1.365853659,23.02439024,18.92682927
E01000065,21.64821648,26.07626076,6.642066421,1.47601476,24.600246,19.55719557
E01000066,19.54964176,27.43091095,4.708290686,1.637666325,22.82497441,23.84851586
E01000067,21.16004296,31.68635875,3.007518797,1.611170784,18.36734694,24.16756176
E01000068,16.31205674,29.78723404,4.491725768,2.127659574,21.63120567,25.6501182
E01000069,19.48818898,28.34645669,2.559055118,1.377952756,18.01181102,30.21653543
E01000070,17.52808989,26.40449438,3.146067416,1.348314607,20.11235955,31.46067416
E01000071,16.50165017,28.30033003,4.125412541,1.650165017,21.45214521,27.97029703
E01000072,21.12514351,29.04707233,3.673938002,2.411021814,24.45464983,19.28817451
E01000073,18.02030457,32.8680203,3.807106599,2.157360406,24.74619289,18.40101523
E01000074,21.70439414,29.56058589,5.459387483,1.065246338,22.10386152,20.10652463
E01000075,18.63157895,33.36842105,4.736842105,1.368421053,24.10526316,17.78947368
E01000076,20.35087719,31.4619883,5.380116959,1.988304094,26.31578947,14.50292398
E01000077,18.82022472,33.00561798,4.494382022,1.966292135,23.45505618,18.25842697
E01000078,24.32432432,28.31402831,5.92020592,2.316602317,22.39382239,16.73101673
