MSOA21CD,MSOADECILE
E02000001,7
E02000002,2
E02000003,4
E02000004,4
E02000005,3
E02000007,2
E02000008,2
E02000009,2
E02000010,2
E02000011,4
E02000012,5
E02000013,2
E02000014,2
E02000015,2
E02000016,2
E02000017,3
E02000018,2
E02000019,2
E02000020,2
E02000021,3
E02000022,2
E02000023,2
E02000024,9
E02000025,6
E02000026,8
E02000027,4
E02000028,7
E02000029,6
E02000030,7
E02000031,9
E02000032,9
E02000033,6
E02000034,7
E02000035,7
E02000036,6
E02000037,8
E02000038,6
E02000039,8
E02000040,6
E02000041,5
E02000042,6
E02000043,10
E02000044,4
E02000045,5
E02000046,8
E02000047,3
E02000048,7
E02000049,2
E02000050,5
E02000051,8
E02000052,8
E02000054,6
E02000055,6
E02000056,9
E02000057,7
E02000058,8
E02000059,4
E02000060,6
E02000061,7
E02000062,2
E02000063,4
E02000064,4
E02000065,5
E02000066,3
E02000067,4
E02000068,3
E02000069,5
E02000070,7
E02000071,6
E02000072,3
E02000073,9
E02000074,3
E02000075,9
E02000077,8
E02000078,9
E02000079,7
E02000080,8
E02000081,6
E02000082,9
E02000083,5
E02000084,9
E02000085,8
E02000086,10
E02000087,9
E02000088,9
E02000089,9
E02000090,8
E02000091,8
E02000092,3
E02000093,5
E02000094,5
E02000095,5
E02000096,8
E02000097,5
E02000098,4
E02000099,5
E02000100,8
E02000101,3
E02000102,2
E02000103,3
E02000104,4
E02000105,5
E02000106,2
E02000107,4
E02000108,5
E02000110,5
E02000111,4
E02000112,4
E02000113,1
E02000114,4
E02000115,4
E02000116,2
E02000117,1
E02000118,4
E02000119,1
E02000120,4
E02000121,4
E02000122,6
E02000123,2
E02000124,5
E02000125,5
E02000126,2
E02000127,3
E02000128,8
E02000130,6
E02000131,4
E02000132,6
E02000133,10
E02000134,6
E02000135,2
E02000136,5
E02000137,9
E02000138,10
E02000139,7
E02000140,2
E02000141,6
E02000142,9
E02000144,9
E02000145,2
E02000146,9
E02000147,10
E02000148,10
E02000149,4
E02000150,8
E02000151,10
E02000152,4
E02000153,10
E02000154,8
E02000155,6
E02000156,10
E02000157,10
E02000158,6
E02000159,10
E02000160,9
E02000161,10
E02000162,7
E02000163,10
E02000165,9
E02000166,5
E02000167,10
E02000168,6
E02000169,10
E02000170,7
E02000171,7
E02000172,3
E02000173,9
E02000174,4
E02000175,6
E02000176,9
E02000177,3
E02000178,3
E02000179,6
E02000180,4
E02000181,8
E02000182,7
E02000183,5
E02000184,3
E02000185,3
E02000186,4
E02000187,2
E02000188,3
E02000191,7
E02000192,4
E02000193,6
E02000194,4
E02000195,6
E02000196,4
E02000197,5
E02000198,3
E02000199,4
E02000200,3
E02000201,2
E02000202,5
E02000203,3
E02000204,4
E02000206,2
E02000207,3
E02000208,2
E02000209,4
E02000210,5
E02000211,8
E02000212,3
E02000213,2
E02000214,8
E02000215,4
E02000216,7
E02000217,3
E02000218,4
E02000219,9
E02000221,3
E02000222,7
E02000223,2
E02000224,6
E02000225,2
E02000226,9
E02000227,6
E02000228,10
E02000229,2
E02000230,7
E02000231,9
E02000232,8
E02000233,7
E02000234,6
E02000235,8
E02000236,9
E02000237,8
E02000238,5
E02000239,7
E02000240,3
E02000241,5
E02000242,7
E02000243,4
E02000244,6
E02000245,2
E02000246,3
E02000247,3
E02000248,5
E02000249,4
E02000250,9
E02000251,6
E02000252,3
E02000253,2
E02000254,4
E02000255,5
E02000256,7
E02000258,5
E02000259,7
E02000260,3
E02000261,4
E02000262,3
E02000263,3
E02000264,6
E02000265,3
E02000266,2
E02000267,5
E02000268,5
E02000269,8
E02000270,2
E02000271,9
E02000272,9
E02000275,3
E02000276,7
E02000277,4
E02000278,2
E02000279,2
E02000280,5
E02000281,3
E02000282,2
E02000283,3
E02000284,6
E02000285,8
E02000286,6
E02000287,7
E02000288,2
E02000289,9
E02000290,2
E02000291,4
E02000292,5
E02000293,8
E02000294,3
E02000295,7
E02000296,5
E02000297,8
E02000298,9
E02000299,2
E02000300,3
E02000301,2
E02000302,5
E02000303,2
E02000304,9
E02000305,6
E02000306,1
E02000307,4
E02000308,5
E02000309,2
E02000311,3
E02000312,5
E02000313,3
E02000314,4
E02000315,2
E02000317,2
E02000318,3
E02000319,4
E02000320,4
E02000321,2
E02000323,2
E02000324,3
E02000326,5
E02000327,3
E02000328,6
E02000329,5
E02000331,3
E02000332,6
E02000333,7
E02000334,4
E02000335,8
E02000337,3
E02000339,6
E02000340,7
E02000341,2
E02000342,5
E02000343,4
E02000344,7
E02000345,3
E02000346,1
E02000347,3
E02000348,2
E02000350,4
E02000351,3
E02000352,4
E02000353,4
E02000354,2
E02000355,3
E02000356,4
E02000357,1
E02000358,2
E02000359,3
E02000360,2
E02000361,2
E02000362,1
E02000363,1
E02000364,3
E02000366,2
E02000367,3
E02000368,2
E02000369,2
E02000370,2
E02000372,2
E02000373,2
E02000374,3
E02000375,3
E02000376,3
E02000377,3
E02000378,4
E02000379,5
E02000380,6
E02000381,5
E02000382,5
E02000383,6
E02000384,2
E02000385,6
E02000386,3
E02000387,4
E02000388,5
E02000389,8
E02000390,5
E02000391,6
E02000392,6
E02000393,9
E02000394,5
E02000395,8
E02000396,6
E02000397,4
E02000398,1
E02000400,5
E02000401,1
E02000402,1
E02000403,4
E02000404,3
E02000405,8
E02000406,2
E02000407,2
E02000408,2
E02000409,2
E02000410,8
E02000411,2
E02000412,2
E02000413,7
E02000414,3
E02000415,3
E02000416,3
E02000417,7
E02000418,8
E02000419,4
E02000420,2
E02000421,1
E02000422,3
E02000423,4
E02000424,5
E02000425,3
E02000426,6
E02000427,4
E02000428,3
E02000429,7
E02000430,7
E02000431,7
E02000432,4
E02000433,8
E02000434,7
E02000435,5
E02000436,9
E02000437,6
E02000438,6
E02000439,5
E02000440,9
E02000441,6
E02000442,7
E02000443,4
E02000444,8
E02000445,5
E02000447,8
E02000448,10
E02000449,5
E02000451,10
E02000452,6
E02000453,8
E02000454,10
E02000455,6
E02000456,7
E02000457,8
E02000459,5
E02000460,4
E02000461,9
E02000462,6
E02000463,5
E02000464,3
E02000465,3
E02000466,4
E02000467,2
E02000468,5
E02000469,3
E02000470,8
E02000471,9
E02000472,7
E02000473,8
E02000474,5
E02000475,8
E02000476,4
E02000477,10
E02000478,9
E02000479,6
E02000480,5
E02000481,9
E02000482,10
E02000483,7
E02000484,8
E02000485,9
E02000486,9
E02000487,10
E02000488,10
E02000489,6
E02000490,6
E02000491,3
E02000492,7
E02000493,4
E02000494,9
E02000495,8
E02000496,5
E02000497,7
E02000498,8
E02000499,10
E02000500,10
E02000501,9
E02000502,9
E02000503,9
E02000504,10
E02000506,9
E02000507,8
E02000508,7
E02000509,6
E02000510,6
E02000511,6
E02000512,4
E02000513,3
E02000514,5
E02000515,4
E02000516,4
E02000517,3
E02000518,3
E02000519,3
E02000520,3
