MSOA CODE,No central heating,Have central heating
E02000001,3.743641913,96.25635809
E02000002,2.194357367,97.80564263
E02000003,2.264631043,97.73536896
E02000004,0.996533795,99.0034662
E02000005,1.902398677,98.09760132
E02000007,1.959183673,98.04081633
E02000008,1.794982699,98.2050173
E02000009,1.786553832,98.21344617
E02000010,1.772303995,98.227696
E02000011,2.885023335,97.11497667
E02000012,1.88507145,98.11492855
E02000013,1.873464373,98.12653563
E02000014,2.360578342,97.63942166
E02000015,2.340145023,97.65985498
E02000016,3.279979008,96.72002099
E02000017,2.785817656,97.21418234
E02000018,1.824930405,98.17506959
E02000019,1.87090739,98.12909261
E02000020,2.567943505,97.43205649
E02000021,2.695325827,97.30467417
E02000022,2.396280401,97.6037196
E02000023,2.775693923,97.22430608
E02000024,1.518874246,98.48112575
E02000025,2.002135611,97.99786439
E02000026,1.669980119,98.33001988
E02000027,1.601085482,98.39891452
E02000028,2.005943536,97.99405646
E02000029,2.04851752,97.95148248
E02000030,0.852514919,99.14748508
E02000031,1.263157895,98.73684211
E02000032,1.092896175,98.90710383
E02000033,1.889493272,98.11050673
E02000034,1.475912002,98.524088
E02000035,2.411347518,97.58865248
E02000036,1.394876997,98.605123
E02000037,0.887812752,99.11218725
E02000038,1.52309613,98.47690387
E02000039,1.271503366,98.72849663
E02000040,1.224722301,98.7752777
E02000041,1.684210526,98.31578947
E02000042,2.183591266,97.81640873
E02000043,0.862715679,99.13728432
E02000044,1.890482399,98.1095176
E02000045,1.832896929,98.16710307
E02000046,2.083333333,97.91666667
E02000047,2.137259558,97.86274044
E02000048,1.721518987,98.27848101
E02000049,2.812828601,97.1871714
E02000050,1.462930821,98.53706918
E02000051,1.949934124,98.05006588
E02000052,1.908852303,98.0911477
E02000054,1.548821549,98.45117845
E02000055,3.46128245,96.53871755
E02000056,1.277584204,98.7224158
E02000057,2.14338507,97.85661493
E02000058,1.3671875,98.6328125
E02000059,2.231237323,97.76876268
E02000060,2.409312398,97.5906876
E02000061,2.80033604,97.19966396
E02000062,2.297090352,97.70290965
E02000063,2.576773738,97.42322626
E02000064,2.317161477,97.68283852
E02000065,2.846846847,97.15315315
E02000066,2.423217808,97.57678219
E02000067,2.636203866,97.36379613
E02000068,2.0657277,97.9342723
E02000069,1.921708185,98.07829181
E02000070,1.78343949,98.21656051
E02000071,1.552028219,98.44797178
E02000072,2.603499787,97.39650021
E02000073,1.338721899,98.6612781
E02000074,2.283105023,97.71689498
E02000075,1.016841436,98.98315856
E02000077,1.498127341,98.50187266
E02000078,1.258694932,98.74130507
E02000079,1.591289782,98.40871022
E02000080,1.545716531,98.45428347
E02000081,1.462522852,98.53747715
E02000082,1.103368177,98.89663182
E02000083,1.462646265,98.53735374
E02000084,1.000714796,98.9992852
E02000085,1.789781972,98.21021803
E02000086,1.398852224,98.60114778
E02000087,0.964145827,99.03585417
E02000088,0.873362445,99.12663755
E02000089,0.757575758,99.24242424
E02000090,1.693298354,98.30670165
E02000091,1.595864239,98.40413576
E02000092,1.877761414,98.12223859
E02000093,1.498127341,98.50187266
E02000094,1.355638881,98.64436112
E02000095,1.572327044,98.42767296
E02000096,0.921105326,99.07889467
E02000097,1.547070441,98.45292956
E02000098,1.529370872,98.47062913
E02000099,2.438186813,97.56181319
E02000100,1.402415271,98.59758473
E02000101,1.949202599,98.0507974
E02000102,2.720834886,97.27916511
E02000103,1.761987291,98.23801271
E02000104,1.779064957,98.22093504
E02000105,2.219363139,97.78063686
E02000106,2.456042423,97.54395758
E02000107,3.074099564,96.92590044
E02000108,1.892605634,98.10739437
E02000110,2.067183463,97.93281654
E02000111,2.196422968,97.80357703
E02000112,2.059496568,97.94050343
E02000113,2.341137124,97.65886288
E02000114,2.210242588,97.78975741
E02000115,2.375419571,97.62458043
E02000116,3.244746601,96.7552534
E02000117,2.732240437,97.26775956
E02000118,2.217997465,97.78200253
E02000119,2.226720648,97.77327935
E02000120,3.159632162,96.84036784
E02000121,2.674386545,97.32561345
E02000122,1.769352291,98.23064771
E02000123,3.429602888,96.57039711
E02000124,2.235039654,97.76496035
E02000125,2.103395844,97.89660416
E02000126,2.820211516,97.17978848
E02000127,1.268163804,98.7318362
E02000128,1.111111111,98.88888889
E02000130,2.019099591,97.98090041
E02000131,2.170053265,97.82994674
E02000132,2.165115338,97.83488466
E02000133,0.66990067,99.33009933
E02000134,1.433691756,98.56630824
E02000135,2.542754275,97.45724572
E02000136,1.350174216,98.64982578
E02000137,1.1703865,98.8296135
E02000138,1.208313195,98.79168681
E02000139,2.05624433,97.94375567
E02000140,1.348516632,98.65148337
E02000141,2.360931436,97.63906856
E02000142,1.447178003,98.552822
E02000144,1.414656772,98.58534323
E02000145,1.934566145,98.06543385
E02000146,1.089648341,98.91035166
E02000147,0.852541838,99.14745816
E02000148,0.592373195,99.4076268
E02000149,1.064153238,98.93584676
E02000150,1.154586273,98.84541373
E02000151,0.571812984,99.42818702
E02000152,1.001615509,98.99838449
E02000153,0.621118012,99.37888199
E02000154,1.427371956,98.57262804
E02000155,1.118421053,98.88157895
E02000156,0.740588356,99.25941164
E02000157,0.518767165,99.48123283
E02000158,0.659413122,99.34058688
E02000159,0.850762141,99.14923786
E02000160,0.920447074,99.07955293
E02000161,1.255605381,98.74439462
E02000162,1.215805471,98.78419453
E02000163,0.913242009,99.08675799
E02000165,0.620437956,99.37956204
E02000166,1.884015308,98.11598469
E02000167,2.697095436,97.30290456
E02000168,1.688609044,98.31139096
E02000169,1.949768672,98.05023133
E02000170,2.742494226,97.25750577
E02000171,2.373798077,97.62620192
E02000172,2.30369086,97.69630914
E02000173,2.514285714,97.48571429
E02000174,2.309859155,97.69014085
E02000175,2.506963788,97.49303621
E02000176,3.168779186,96.83122081
E02000177,2.216142271,97.78385773
E02000178,2.832453193,97.16754681
E02000179,3.258735768,96.74126423
E02000180,2.871765709,97.12823429
E02000181,1.919488136,98.08051186
E02000182,3.11587147,96.88412853
E02000183,2.515897152,97.48410285
E02000184,3.328748281,96.67125172
E02000185,3.488943489,96.51105651
E02000186,3.942895989,96.05710401
E02000187,3.142183818,96.85781618
E02000188,3.384841795,96.6151582
E02000191,3.133903134,96.86609687
E02000192,2.620511161,97.37948884
E02000193,3.707285622,96.29271438
E02000194,2.734839477,97.26516052
E02000195,1.575931232,98.42406877
E02000196,1.526446574,98.47355343
E02000197,2.381670184,97.61832982
E02000198,2.428571429,97.57142857
E02000199,2.057998129,97.94200187
E02000200,2.89782663,97.10217337
E02000201,2.722513089,97.27748691
E02000202,2.20685112,97.79314888
E02000203,2.917601795,97.0823982
E02000204,2.045877247,97.95412275
E02000206,2.506714414,97.49328559
E02000207,2.922169149,97.07783085
E02000208,2.757442655,97.24255735
E02000209,2.3179889,97.6820111
E02000210,2.206736353,97.79326365
E02000211,1.031866464,98.96813354
E02000212,2.758197977,97.24180202
E02000213,2.875695733,97.12430427
E02000214,1.461736887,98.53826311
E02000215,2.85279574,97.14720426
E02000216,2.141400408,97.85859959
E02000217,2.430278884,97.56972112
E02000218,1.529961751,98.47003825
E02000219,0.970873786,99.02912621
E02000221,2.056168506,97.94383149
E02000222,1.458849436,98.54115056
E02000223,2.14745884,97.85254116
E02000224,2.017731581,97.98226842
E02000225,2.106054908,97.89394509
E02000226,1.223021583,98.77697842
E02000227,1.405539479,98.59446052
E02000228,0.698602794,99.30139721
E02000229,1.967799642,98.03220036
E02000230,1.205388797,98.7946112
E02000231,0.763914151,99.23608585
E02000232,0.843881857,99.15611814
E02000233,1.457725948,98.54227405
E02000234,1.373182553,98.62681745
E02000235,0.753295669,99.24670433
E02000236,0.63463282,99.36536718
E02000237,0.822909809,99.17709019
E02000238,1.311563169,98.68843683
E02000239,1.332422275,98.66757772
E02000240,1.899383984,98.10061602
E02000241,2.077722201,97.9222778
E02000242,1.930848675,98.06915132
E02000243,1.438618926,98.56138107
E02000244,2.315287709,97.68471229
E02000245,2.802623733,97.19737627
E02000246,2.539889287,97.46011071
E02000247,1.89987163,98.10012837
E02000248,2.475744396,97.5242556
E02000249,1.648351648,98.35164835
E02000250,1.17693213,98.82306787
E02000251,2.202989772,97.79701023
E02000252,3.198729583,96.80127042
E02000253,1.823391508,98.17660849
E02000254,2.105666156,97.89433384
E02000255,2.216358839,97.78364116
E02000256,2.955787382,97.04421262
E02000258,1.692307692,98.30769231
E02000259,1.377870564,98.62212944
E02000260,1.959361393,98.04063861
E02000261,2.350813743,97.64918626
E02000262,2.306132793,97.69386721
E02000263,2.166758091,97.83324191
E02000264,2.286198137,97.71380186
E02000265,2.388501374,97.61149863
E02000266,2.141527002,97.858473
E02000267,1.554243084,98.44575692
E02000268,1.501423764,98.49857624
E02000269,1.878218722,98.12178128
E02000270,2.308626974,97.69137303
E02000271,1.680107527,98.31989247
E02000272,1.45784082,98.54215918
E02000275,2.897315722,97.10268428
E02000276,1.798825257,98.20117474
E02000277,2.359208524,97.64079148
E02000278,2.45508982,97.54491018
E02000279,2.718622565,97.28137744
E02000280,1.994134897,98.0058651
E02000281,3.15581854,96.84418146
E02000282,3.115085088,96.88491491
E02000283,2.536620222,97.46337978
E02000284,1.438848921,98.56115108
E02000285,1.098454028,98.90154597
E02000286,1.175587794,98.82441221
E02000287,0.939784198,99.0602158
E02000288,2.763385147,97.23661485
E02000289,0.824402308,99.17559769
E02000290,2.818578801,97.1814212
E02000291,2.172405824,97.82759418
E02000292,1.933314654,98.06668535
E02000293,1.044596223,98.95540378
E02000294,2.235904083,97.76409592
E02000295,1.491646778,98.50835322
E02000296,1.880722593,98.11927741
E02000297,1.208981002,98.791019
E02000298,0.85078534,99.14921466
E02000299,2.895927602,97.1040724
E02000300,3.334444815,96.66555519
E02000301,2.738255034,97.26174497
E02000302,1.252810793,98.74718921
E02000303,2.855223379,97.14477662
E02000304,1.271477663,98.72852234
E02000305,1.911381407,98.08861859
E02000306,2.588235294,97.41176471
E02000307,1.4366956,98.5633044
E02000308,1.985727583,98.01427242
E02000309,2.886546185,97.11345382
E02000311,1.760176018,98.23982398
E02000312,2.179230598,97.8207694
E02000313,3.081664099,96.9183359
E02000314,2.424509588,97.57549041
E02000315,2.235597592,97.76440241
E02000317,2.763018066,97.23698193
E02000318,2.876291539,97.12370846
E02000319,2.295918367,97.70408163
E02000320,2.309197652,97.69080235
E02000321,2.468718296,97.5312817
E02000323,2.488593944,97.51140606
E02000324,1.927119832,98.07288017
E02000326,2.721311475,97.27868852
E02000327,2.389078498,97.6109215
E02000328,1.663272234,98.33672777
E02000329,2.356765542,97.64323446
E02000331,1.692789969,98.30721003
E02000332,1.701134089,98.29886591
E02000333,2.323162275,97.67683773
E02000334,2.04643841,97.95356159
E02000335,1.310717039,98.68928296
E02000337,1.394293126,98.60570687
E02000339,2.083333333,97.91666667
E02000340,2.052980132,97.94701987
E02000341,1.531133038,98.46886696
E02000342,1.323090055,98.67690994
E02000343,1.298701299,98.7012987
E02000344,0.939542484,99.06045752
E02000345,2.858246427,97.14175357
E02000346,2.643504532,97.35649547
E02000347,2.983339791,97.01666021
E02000348,2.792064658,97.20793534
E02000350,2.003248511,97.99675149
E02000351,2.387142519,97.61285748
E02000352,2.348117779,97.65188222
E02000353,2.439797212,97.56020279
E02000354,2.231695085,97.76830491
E02000355,2.988431877,97.01156812
E02000356,1.765860039,98.23413996
E02000357,2.793090775,97.20690922
E02000358,2.284527518,97.71547248
E02000359,2.461033634,97.53896637
E02000360,2.679859823,97.32014018
E02000361,3.345118303,96.6548817
E02000362,2.2467903,97.7532097
E02000363,2.116640396,97.8833596
E02000364,2.270507813,97.72949219
E02000366,2.288782142,97.71121786
E02000367,3.111401218,96.88859878
E02000368,3.031761309,96.96823869
E02000369,3.272604588,96.72739541
E02000370,3.909774436,96.09022556
E02000372,2.556158017,97.44384198
E02000373,2.364998029,97.63500197
E02000374,1.604891097,98.3951089
E02000375,2.344867029,97.65513297
