MSOA CODE,Less than 5km,5km to less than 20km,20km to less than 40km,40km and over,"Works mainly at an offshore installation, in no fixed place, or outside the UK",Works mainly from home
E02000001,19.83919222,6.039640987,0.411368736,0.69184742,5.665669409,67.35228123
E02000002,19.61087091,26.74490426,8.091414453,1.420630019,23.19332922,20.93885114
E02000003,17.44940817,26.74684994,7.082856052,1.164566628,22.05040092,25.50591829
E02000004,21.71538709,23.00032123,7.452618053,1.317057501,21.4262769,25.08833922
E02000005,21.43150967,27.1287536,6.273138626,1.583710407,21.534348,22.0485397
E02000007,23.03910091,26.5745727,7.937251229,1.638960431,22.12596582,18.68414891
E02000008,23.72256365,27.42756804,5.864793679,1.738366989,23.6523266,17.59438104
E02000009,20.0699687,30.63892469,5.174001105,1.822868717,22.20585528,20.08838151
E02000010,22.02788939,27.10943039,7.303238005,1.48900969,23.75324982,18.3171827
E02000011,15.98968407,28.27208253,9.348807221,1.418439716,24.91940683,20.05157963
E02000012,18.66666667,28.41791045,3.542288557,1.552238806,20.23880597,27.58208955
E02000013,19.62056915,31.47778333,5.4667998,1.872191712,24.0888667,17.47378932
E02000014,21.81652214,29.21040621,7.55362848,1.825650388,24.44089457,15.15289822
E02000015,18.50797267,29.10022779,8.171981777,1.651480638,23.83257403,18.7357631
E02000016,14.68131868,35.07692308,4.285714286,1.802197802,18.57142857,25.58241758
E02000017,16.99975921,30.50806646,4.912111726,2.118950157,24.89766434,20.56344811
E02000018,19.46392786,32.08917836,4.634268537,2.129258517,24.24849699,17.43486974
E02000019,18.91566265,31.54216867,6.072289157,1.855421687,23.39759036,18.21686747
E02000020,16.24860201,32.75283592,4.1859722,1.677584279,21.31330884,23.82169676
E02000021,16.8599946,31.69678986,8.497437281,2.023199353,23.52306447,17.39951443
E02000022,17.33174509,35.58665873,4.109589041,1.60810006,18.3144729,23.04943419
E02000023,18.9516129,35.73200993,4.838709677,2.388337469,19.50992556,18.57940447
E02000024,12.15479992,22.78790156,2.21679504,1.10839752,10.48281045,51.24929551
E02000025,13.02691117,25.36318171,1.97666111,1.024053346,13.07454156,45.53465111
E02000026,14.08403361,23.86554622,2.25210084,1.378151261,13.31092437,45.1092437
