MSOA CODE,No qualifications,Level 1 and entry level qualifications,Level 2 qualifications,Apprenticeship,Level 3 qualifications,Level 4 qualifications or above,Other qualifications
E02000001,6.607544342,2.785410942,4.896327754,0.999250562,8.843367474,74.1818636,1.686235324
E02000002,23.94319131,10.72681704,13.13283208,4.193817878,13.70091896,30.91060986,3.391812865
E02000003,21.30184202,10.36275285,12.45338456,4.056955588,14.12588993,34.01514295,3.684032094
E02000004,23.49952963,10.53621825,12.47412982,5.136406397,14.61900282,30.74317968,2.991533396
E02000005,22.26811866,9.876079609,12.70496933,3.942921517,13.60620854,33.78395294,3.817749405
E02000007,23.80123225,10.63487811,13.16635414,4.178944549,13.19314224,31.70372355,3.321725154
E02000008,25.21571414,10.86184144,13.85646127,4.009745204,13.5214699,28.51487159,4.019896457
E02000009,22.20440453,9.846055164,13.03185803,3.923455206,13.73743853,33.50438315,3.752405388
E02000010,23.81625442,10.7844523,12.76325088,4.212014134,13.59717314,30.99646643,3.830388693
E02000011,25.47065338,10.29900332,12.07087486,4.688076781,12.56921373,31.1369509,3.765227021
E02000012,19.32165065,10.19785189,13.1147541,3.052572075,16.08818542,34.16619559,4.058790277
E02000013,25.92964824,10.75376884,12.84996411,4.436468055,12.73510409,30.07896626,3.216080402
E02000014,25.92492937,11.24714113,13.73604197,4.412753935,12.91537737,28.252388,3.511368223
E02000015,23.1496847,9.824095586,13.90640558,4.231662795,12.89412546,32.64188516,3.352140724
E02000016,18.00316539,8.81034028,9.905038248,2.927987338,12.35821683,43.90662094,4.088630968
E02000017,23.13401484,11.09088363,11.67903655,3.052793726,12.32320403,34.63100406,4.089063156
E02000018,23.91024725,10.93325711,12.14806346,4.559096756,13.26282693,31.68500786,3.501500643
E02000019,23.4121333,10.86585019,12.81686129,3.631444033,13.89917402,31.77157505,3.602962119
E02000020,21.49259548,9.236165238,11.48674981,3.215120811,13.06508184,37.69485581,3.809431021
